Project Number,Name,Sector,Province,Amount
50256,ACVV POSTMASBURG,CHARITIES,NORTHERN CAPE,303266
50716,ACVV SPRINGBOK,CHARITIES,NORTHERN CAPE,300290
59796,ACVV UPINGTON,CHARITIES,NORTHERN CAPE,189000
51689,ACVV WILLISTON,CHARITIES,NORTHERN CAPE,66267
53491,AGANG AIDS SERVICE ORGANISATION,CHARITIES,NORTHERN CAPE,351650
51907,CHILD WELFARE SOUTH AFRICA  FRASERBURG,CHARITIES,NORTHERN CAPE,327150
52732,CHILD WELFARE SOUTH AFRICA - KIMBERLEY,CHARITIES,NORTHERN CAPE,223190
53406,CHILD WELFARE SOUTH AFRICA CHRISTINA KIDDIE CHILDREN'S HOME,CHARITIES,NORTHERN CAPE,209716
51976,DIE GROBLERSHOOP KINDER - EN GESINSORGVERENIGING,CHARITIES,NORTHERN CAPE,320000
45393,DINGLETON COMMUNITY HEALTH WORKERS PROJECT,CHARITIES,NORTHERN CAPE,266147
53799,DORINGROSIE SPEELKRING,CHARITIES,NORTHERN CAPE,35600
53143,ETHEMBENI COMMUNITY CENTRE,CHARITIES,NORTHERN CAPE,722499
55266,GALASHEWE ASSOCIATION FOR CARE OF THE AGED,CHARITIES,NORTHERN CAPE,179320
50922,HANTAM  COMMUNITY EDUCATION TRUST,CHARITIES,NORTHERN CAPE,436841
50409,HUIS ANDALUSIA,CHARITIES,NORTHERN CAPE,332400
50409,HUIS ANDALUSIA TEHUIS VIR BEJAARDES,CHARITIES,NORTHERN CAPE,332400
50379,HUNGER AND THIRST FOUNDATION,CHARITIES,NORTHERN CAPE,206050
50361,KATOLIEKE ONTWIKKELING,CHARITIES,NORTHERN CAPE,350000
52558,KURUMAN MOFFAT MISSION,CHARITIES,NORTHERN CAPE,364613
52796,LITTLE BIG CUP SOUP KITCHEN AND FOOD SECURITY PROJECT,CHARITIES,NORTHERN CAPE,209250
52064,LUVUYO (BLYDSKAP),CHARITIES,NORTHERN CAPE,192257
45770,MATTHYS VOEDSEL HULP,CHARITIES,NORTHERN CAPE,308000
53029,MATTHYS VOEDSEL HULP,CHARITIES,NORTHERN CAPE,308000
44253,MMATSHEKO PRIMARY SCHOOL,CHARITIES,NORTHERN CAPE,473039
58508,MORALADI PRIMARY SCHOOL,CHARITIES,NORTHERN CAPE,368024
53782,NAMAQUALAND ASSOCIATION FOR PRE-SCHOOL EDUCATION,CHARITIES,NORTHERN CAPE,753859
59291,NG WELSYN NOORD-KAAP,CHARITIES,NORTHERN CAPE,60773
52953,NOORD KAAP VIGS FORUM,CHARITIES,NORTHERN CAPE,64000
51600,OASIS SKILLS DEVELOPMENT CENTRE,CHARITIES,NORTHERN CAPE,1898177
49639,PRIESKA UTILITEITSMAATSKAPPY,CHARITIES,NORTHERN CAPE,394000
44679,PROTIRO CARE GIVERS,CHARITIES,NORTHERN CAPE,212750
52912,ROODERPAN EARLY CHILDHOOD DEVELOPMENT,CHARITIES,NORTHERN CAPE,194196
50998,SPOEGRIVIER ADVICE AND DEVELOPMENT FORUM,CHARITIES,NORTHERN CAPE,450000
51827,THUSO ADVICE AND DEVELOPMENT CENTRE(PAMPIERSTAD),CHARITIES,NORTHERN CAPE,250000
58415,TSHWARAGANANG OLD AGE CENTRE,CHARITIES,NORTHERN CAPE,168300
58330,VEILIGE VOETJIES KLEUTERSKOOL,CHARITIES,NORTHERN CAPE,144000
50804,ATAMELANG PRIMARY SCHOOL,CHARITIES,NORTHERN CAPE,290000
57294,AKANANI RURAL DEVELOPMENT ASSOCIATION,CHARITIES,LIMPOPO,222995
52278,AMOGETSANANG DROP IN CENTRE,CHARITIES,NORTH WEST,448315
56895,AMOS MAHLOANA PRE-SCHOOL,CHARITIES,NORTH WEST,71334
51680,AMUKELANI COMMUNITY HEALTH CARE ORGANISATION,CHARITIES,NORTH WEST,132940
51190,ANGELS DAY CARE CENTRE,CHARITIES,NORTH WEST,99463
51641,BAHLALOGA COMMUNITY HOME BASE CARE,CHARITIES,NORTH WEST,366330
51641,BAHLALOGA COMMUNITY HOME BASE CARE,CHARITIES,NORTH WEST,244220
51846,BAITHUDI MOHLAHLEDI PRIMARY SCHOOL,CHARITIES,NORTH WEST,122970
59943,BAKGALAKA DROP IN CENTRE,CHARITIES,NORTH WEST,455057
58982,BENEDICT AND HOPE SCHOOL,CHARITIES,NORTH WEST,1320884
53354,BEYOND SURVIVAL SOCIAL EMPOWERMENT SERVICES,CHARITIES,NORTH WEST,400000
50346,BOB MMOLA DROP IN CENTRE,CHARITIES,NORTH WEST,104750
51437,BOKAMOSO COMMUNITY DEVELOPMENT & HEALTH CENTRE,CHARITIES,NORTH WEST,1224720
59018,BONTSHANG BOKGWARI DROP IN CENTRE,CHARITIES,NORTH WEST,808411
31874,BOPANANG COMMUNITY BASED ORGANISATION,CHARITIES,NORTH WEST,200700
52215,BOPHELONG HEALTH CARE NUTRITION PROJECT,CHARITIES,NORTH WEST,555403
44431,BORELETSANE PRIMARY SCHOOL,CHARITIES,NORTH WEST,284354
58526,BOTLOKWA DISABLED CENTRE,CHARITIES,NORTH WEST,226729
50009,BULA MAHLO HOME BASED CARE,CHARITIES,NORTH WEST,187500
57752,CENTRE FOR POSITIVE CARE,CHARITIES,NORTH WEST,633000
56897,CHARLOTTE MAKGOMO MANNYA-MAXEKE DROP IN CENTRE,CHARITIES,NORTH WEST,200000
59080,CHILDLINE LIMPOPO,CHARITIES,NORTH WEST,1905371
51110,DAVHANA SOCIETY FOR THE CARE OF THE AGED,CHARITIES,NORTH WEST,238396
53175,DE VREDE DROP IN CENTRE,CHARITIES,NORTH WEST,660338
52487,DIE WATERBERGSE DIENSENTRUM VIR BEJAARDES,CHARITIES,NORTH WEST,100000
52240,DIKGALE HOME BASED CARE,CHARITIES,NORTH WEST,444530
51707,DILONDE AIDS AWARENESS AND HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,277568
51890,DIRISANANG DROP IN CENTRE,CHARITIES,NORTH WEST,312000
52448,DITHABANENG DROP-IN CENTRE,CHARITIES,NORTH WEST,163050
52062,DOMBONI HOME BASED CARE,CHARITIES,NORTH WEST,191750
57915,DZEKULA DEVELOPMENT ORGANISATION,CHARITIES,NORTH WEST,164000
52965,EISLEBEN HOME BASED CARE,CHARITIES,NORTH WEST,208000
42174,EKUTHULENI HOME BASED CARE,CHARITIES,NORTH WEST,228150
50006,ELIM CARE GROUP PROJECT,CHARITIES,NORTH WEST,175000
55970,ELIM-HLANGANANI SOCIETY FOR THE AGED,CHARITIES,NORTH WEST,587900
51082,EMAHNADIS DAY CARE CENTRE & COMMUNITY  DEVELOPMENT PROJECT,CHARITIES,NORTH WEST,116500
50883,EPP MHINGA SECONDARY SCHOOL,CHARITIES,NORTH WEST,546990
59043,EVELYN LEKGANYANE HOME BASED CARE,CHARITIES,NORTH WEST,200000
42253,FAHLOSHANANG BAKGAGA CENTRE,CHARITIES,NORTH WEST,361100
51651,FAITHFUL DAY CARE CENTRE,CHARITIES,NORTH WEST,200000
43902,FAR NORTH NETWORK ON FAMILY VIOLENCE,CHARITIES,NORTH WEST,241150
51353,FAR NORTH NETWORK ON FAMILY VIOLENCE,CHARITIES,NORTH WEST,211000
50196,FEFE HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,220950
52250,FUNANANI COMMUNITY CRECHE,CHARITIES,NORTH WEST,68395
54586,FUNDISIZWE HEALTH & SOCIAL DEV SERVICES,CHARITIES,NORTH WEST,394100
54308,FUYATHA PRIMARY SCHOOL,CHARITIES,NORTH WEST,300000
57304,GIYANI SOCIETY FOR THE CARE OF THE AGED,CHARITIES,NORTH WEST,420014
53392,GOLANG KULANI EARLY LEARNING CENTRE,CHARITIES,NORTH WEST,1681315
51113,GREATER GIYANI OLDER PERSONS FORUM,CHARITIES,NORTH WEST,229675
51393,GUNDO COMMUNITY DEVELOPMENT,CHARITIES,NORTH WEST,195200
43517,HAKALA PRIMARY SCHOOL,CHARITIES,NORTH WEST,283120
52042,HITAPFUNEKA DROP IN CENTRE,CHARITIES,NORTH WEST,403413
57280,HLAYISEKANI COMMUNITY HOME PROJECT  CARE,CHARITIES,NORTH WEST,221831
50225,HOEDSPRUIT TRAINING TRUST,CHARITIES,NORTH WEST,1023115
53191,HOLANI HOME BASED CARE ORGANISATION,CHARITIES,NORTH WEST,193800
55458,HORIZON THUSANANG,CHARITIES,NORTH WEST,630000
57853,IKAGENG COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,173000
52432,IKAGENG HIV/AIDS HOME BASED CARE,CHARITIES,NORTH WEST,102963
52432,IKAGENG HIV/AIDS HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,102964
59112,IKAGENG KROMHOEK,CHARITIES,NORTH WEST,206200
55270,IKAGENG KROMHOEK DROP-IN CENTRE,CHARITIES,NORTH WEST,350000
50825,IKAGENG PRIMARY SCHOOL,CHARITIES,NORTH WEST,401500
51713,IKHOLOFELENG SERVICE CLUB,CHARITIES,NORTH WEST,184093
54275,IPOPENG MONSTERLUS CRECHE,CHARITIES,NORTH WEST,434852
52977,ITIRELENG EDUCATIONAL PROJECT,CHARITIES,NORTH WEST,784850
60003,ITOTENG HIV/AIDS GROUP,CHARITIES,NORTH WEST,167750
54216,ITSOSHENG COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,215056
45436,ITUMELENG COMMUNITIES ORPHANAGE CENTRE,CHARITIES,NORTH WEST,245359
50751,JACK MORARE PRIMARY SCHOOL,CHARITIES,NORTH WEST,336806
51862,KATISI PRIMARY SCHOOL,CHARITIES,NORTH WEST,35200
50758,KEDISHI SECONDARY SCHOOL,CHARITIES,NORTH WEST,336806
54159,KGANYA CRECHE,CHARITIES,NORTH WEST,111312
50858,KGOLO SENOIR SECONDARY SCHOOL,CHARITIES,NORTH WEST,450000
54169,KGOTLELELANG BASADI HOME BASED CARE,CHARITIES,NORTH WEST,300000
59458,KGWANA COMMUNITY CENTRE,CHARITIES,NORTH WEST,484000
50504,KHANIMAMBA TRAINING & RESOURCE CENTRE,CHARITIES,NORTH WEST,1215300
45493,KHOLOFELO COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,217380
52581,KIBI COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,66600
59624,KODUMELA DROP IN CENTRE,CHARITIES,NORTH WEST,380964
51630,KODUMELA ENVIRONMENTAL HOME BASE CARE,CHARITIES,NORTH WEST,205000
59206,KODUMELA MOEPATHUTSE DROP IN CENTRE,CHARITIES,NORTH WEST,511970
51180,KOKOKHUTSA COMMUNITY CRECHE,CHARITIES,NORTH WEST,310080
40888,KOPANO KE MAATLA COMMUNITY CARE GIVER,CHARITIES,NORTH WEST,53200
41527,KOTSIRI CRECHE,CHARITIES,NORTH WEST,47834
43097,KUKANANG WOMEN'S DEVELOPMENT PROJECT,CHARITIES,NORTH WEST,139000
59700,KWAKWATI HOME COMMUNITY BASED CARE,CHARITIES,NORTH WEST,410810
52443,KWOKWANE HOME BASED CARE,CHARITIES,NORTH WEST,217666
54336,LAFATA HOME BASE CARE,CHARITIES,NORTH WEST,179073
54751,LAFATA PROJECT,CHARITIES,NORTH WEST,321053
57482,LAPA LA HUNADI AGED CLUB,CHARITIES,NORTH WEST,390750
56917,LEBOPO COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,270400
59084,LEBOWAKGOMO PRE-SCHOOL,CHARITIES,NORTH WEST,238542
51653,"LEHLABA PROTECTIVE WORKSHOP FOR MENTALLY AND PHISICALLY
HADICAPPED",CHARITIES,NORTH WEST,323367
59714,LEHLABILE CRECHE,CHARITIES,NORTH WEST,258801
53783,LEHLABILE DEVELOPMENT PROJECT,CHARITIES,NORTH WEST,240454
51109,LEHLABILE HOME BASED CARE - ORPHANS AND VULNERABLE CHILDREN,CHARITIES,NORTH WEST,116361
51109,LEHLABILE HOME BASED CARE - ORPHANS AND VULNERABLE CHILDREN,CHARITIES,NORTH WEST,116361
44654,LEHLOGEDI COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,170000
58948,LEHLOGONOLO CRECHE,CHARITIES,NORTH WEST,47493
54184,LEKHURENG PRIMARY SCHOOL,CHARITIES,NORTH WEST,400000
59570,LENKWANE LA MAPHIRI DROP IN CENTRE,CHARITIES,NORTH WEST,1338250
50354,LENYENYE CRECHE,CHARITIES,NORTH WEST,142995
51003,LEPELLE HEALTH AND SOCIAL SERVICES CONSORTIUM,CHARITIES,NORTH WEST,267400
52345,LESEDI CHILD CARE CENTRE,CHARITIES,NORTH WEST,296005
51858,LETSIRI PRIMARY SCHOOL,CHARITIES,NORTH WEST,151500
51839,LEWALEMOLOMO SECONDARY SCHOOL,CHARITIES,NORTH WEST,150000
51900,LEWENG PRIMARY SCHOOL,CHARITIES,NORTH WEST,400000
58940,LIGEGE SECONDARY SCHOOL,CHARITIES,NORTH WEST,400000
51639,LIMPOPO PROVINCE CBO NETWORK,CHARITIES,NORTH WEST,400000
51639,LIMPOPO PROVINCE CBO NETWORK,CHARITIES,NORTH WEST,204661
52838,LOVE AND PEACE HOME BASED CARE,CHARITIES,NORTH WEST,143027
50640,LULAMA HEALTH DEVELOPMENT ORGANISATION,CHARITIES,NORTH WEST,467250
45021,LUSAKA PRIMARY SCHOOL,CHARITIES,NORTH WEST,208816
54554,MADABANI CRECHE,CHARITIES,NORTH WEST,162200
54554,MADABANI CRECHE,CHARITIES,NORTH WEST,162200
52381,MADIGA KGOKAGANANG DROP IN CENTRE,CHARITIES,NORTH WEST,70000
52381,MADIGA KGOKAGANANG DROP IN CENTRE,CHARITIES,NORTH WEST,70000
51833,MADODONGA PRIMARY SCHOOL,CHARITIES,NORTH WEST,321480
50679,MAFATO PRIMARY SCHOOL,CHARITIES,NORTH WEST,377949
54228,MAFEFE CENTRAL COMMUNITY,CHARITIES,NORTH WEST,164855
51605,MAFULANE CRECHE,CHARITIES,NORTH WEST,104500
51605,MAFULANE CRECHE,CHARITIES,NORTH WEST,104500
59281,MAHLAFOLANE DAY CARE CENTRE,CHARITIES,NORTH WEST,476002
57730,MAHUBAHUBE HOME BASED CARE,CHARITIES,NORTH WEST,184824
55378,MAKGEILA CRECHE,CHARITIES,NORTH WEST,63966
50438,MAKGOBE CRECHE,CHARITIES,NORTH WEST,64700
50438,MAKGOBE CRECHE,CHARITIES,NORTH WEST,64700
51080,MAKHADO YOUTH DEVELOPMENT ORGANISATION,CHARITIES,NORTH WEST,144650
51983,MAKHUSHANE DROP IN CENTRE,CHARITIES,NORTH WEST,554808
51664,MALEDU CRECHE,CHARITIES,NORTH WEST,206841
56987,MAMOHLOKWANE CRECHE,CHARITIES,NORTH WEST,73850
52686,MAMOKGA SEFOKO SUPPORT GROUP,CHARITIES,NORTH WEST,122500
50857,MAMOLOKO PRIMARY SCHOOL,CHARITIES,NORTH WEST,377882
50441,MAMUTHALUSI OPEN CARE ORGANISATION,CHARITIES,NORTH WEST,197550
50441,MAMUTHALUSI OPEN CARE ORGANISATION,CHARITIES,NORTH WEST,197550
51134,MANDELA PARADISE PRE-SCHOOL,CHARITIES,NORTH WEST,82525
51112,MANOGE CRECHE,CHARITIES,NORTH WEST,213633
50175,MANTE CRECHE,CHARITIES,NORTH WEST,179358
51183,MAOLINYANA DAY CARE CENTRE,CHARITIES,NORTH WEST,416555
49610,MAPATE HIV /AIDS AWARENESS AND WELFARE PROJECT,CHARITIES,NORTH WEST,282806
53523,MAPHUTHA COMMUNITY DEVELOPMENT DROP IN CENTRE,CHARITIES,NORTH WEST,108782
51116,MAPITSI PRE-SCHHOL,CHARITIES,NORTH WEST,118098
54559,MARAPONG HIV/AIDS CARE GROUP,CHARITIES,NORTH WEST,223231
54189,MARULENG COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,164386
54189,MARULENG COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,164387
57834,MASEMODIKE CRECHE,CHARITIES,NORTH WEST,125824
55830,MASUNGULO DAY CARE CENTRE,CHARITIES,NORTH WEST,88475
51520,MATAVHELA HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,114500
51666,MATLALA ADVICE OFFICE (CENTRE),CHARITIES,NORTH WEST,823700
51455,MATOME PHEEHA DROP IN CENTRE,CHARITIES,NORTH WEST,198900
51710,MBAHE HOME BASED CARE,CHARITIES,NORTH WEST,148200
51710,MBAHE HOME BASED CARE,CHARITIES,NORTH WEST,148200
59289,MMAKOMA DROP IN CENTRE,CHARITIES,NORTH WEST,608512
51764,MMAKOMA EDUCARE CENTRE,CHARITIES,NORTH WEST,238177
51764,MMAKOMA EDUCARE CENTRE,CHARITIES,NORTH WEST,238176
44421,MMANKOPANA PRIMARY SCHOOL,CHARITIES,NORTH WEST,236808
50852,MMAPHOTLA PRIMARY SCHOOL,CHARITIES,NORTH WEST,401500
59088,MMATLALA CRECHE,CHARITIES,NORTH WEST,242316
50456,MODIANE DROP IN AND MULTIPURPOSE CENTRE,CHARITIES,NORTH WEST,1437800
42878,MOGALATSANA PRIMARY SCHOOL,CHARITIES,NORTH WEST,968765
57711,MOGOTO DROP - IN CENTER,CHARITIES,NORTH WEST,397027
54221,MOGOTO LEHLABILE HOME BASED CARE,CHARITIES,NORTH WEST,385005
55821,MOHLAHLEDI PRIMARY SCHOOL,CHARITIES,NORTH WEST,275000
51438,MOHLALETSE HOME BASED CARE,CHARITIES,NORTH WEST,300000
57475,MOHLANATSI INTEGRATED RURAL DEVELOPMENT PROGRAMME,CHARITIES,NORTH WEST,368968
57845,MOHLAREKOMA HOME BASED CARE,CHARITIES,NORTH WEST,208500
53615,MOIME PRIMARY SCHOOL,CHARITIES,NORTH WEST,79116
51853,MOKGUBI SECONDARY SCHOOL,CHARITIES,NORTH WEST,246000
58974,MONGOBONG COMM CRECHE & PRE-SCHOOL,CHARITIES,NORTH WEST,52719
45348,MOOKGOPHONG COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,407750
54181,MOTJERE SECONDARY SCHOOL,CHARITIES,NORTH WEST,400000
51221,MOTSWADIBE HOME BASE CARE,CHARITIES,NORTH WEST,143500
51117,MPHE BATHO DAY CARE,CHARITIES,NORTH WEST,119728
57747,MPONEGELE KE ITIRELE,CHARITIES,NORTH WEST,276850
52426,MUBVUMONI HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,284245
52426,MUBVUMONI HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,284245
51709,MUKULA HOME BASED CARE,CHARITIES,NORTH WEST,105675
52096,MULENZHE COMMUNITY HOME BASED CARE PROJECT,CHARITIES,NORTH WEST,151700
50466,MULODI PHALAMA COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,192725
57692,MUSA WE NKOSI COMMUNITY CRECHE,CHARITIES,NORTH WEST,151117
58858,MUTALE VICTIM EMPOWERMENT,CHARITIES,NORTH WEST,292699
50325,MVELAPHANDA HOME BASED CARE AND AIDS AWARENESS,CHARITIES,NORTH WEST,167500
51119,NALEDI COMMUNITY CRECHE,CHARITIES,NORTH WEST,248500
55462,NEW LIFE CONSULTANTS,CHARITIES,NORTH WEST,295948
53814,NHLALALA EDUCARE CENTRE,CHARITIES,NORTH WEST,161290
44647,NKGELE PRIMARY SCHOOL,CHARITIES,NORTH WEST,443723
54780,NKOMO TIYISELANI DAYCARE CENTRE,CHARITIES,NORTH WEST,160530
53741,NKURI HEALTH DEVELOPMENT ORGANISATION,CHARITIES,NORTH WEST,285800
49997,NKUZI DEVELOPMENT ASSOCIATION,CHARITIES,NORTH WEST,921377
41505,NTHABALALA HOME BASED CARE,CHARITIES,NORTH WEST,135500
56892,NTSAKO SECONDARY SCHOOL,CHARITIES,NORTH WEST,398900
42549,NTSHUXEKANI COMMUNITY BASED ORGANISATION,CHARITIES,NORTH WEST,1288106
59614,NTSHUXEKANI COMMUNITY HOME BASE,CHARITIES,NORTH WEST,485750
53022,NTSHUXEKO HOME COMMUNITY BASED CARE,CHARITIES,NORTH WEST,223950
56842,NYAKHOROANA COMBINED SCHOOL,CHARITIES,NORTH WEST,30000
51617,OPRET ADVICE OFFICE,CHARITIES,NORTH WEST,536000
50367,PFUKANI EARLY LEARNING CENTRE,CHARITIES,NORTH WEST,172250
55453,PFUKANI VICTIM EMPOWERMENT PROGRAMME,CHARITIES,NORTH WEST,248350
50486,PFUNANANI HOME BASED CARE,CHARITIES,NORTH WEST,111750
50773,PFUNANO THUSANO COMMUNITY PROJECT,CHARITIES,NORTH WEST,201115
59594,PFUXANANI EARLY LEARNING CENTRE,CHARITIES,NORTH WEST,1163390
58533,PHADZIMA HOME BASED CARE,CHARITIES,NORTH WEST,196178
57404,PHAFOGANG COMMUNITY HOME BASE CARE,CHARITIES,NORTH WEST,345700
50779,PHAUDI PRIMARY SCHOOL,CHARITIES,NORTH WEST,150000
51131,PHELA O PHEDISE DROP IN CENTRE,CHARITIES,NORTH WEST,150800
59617,PHELA O PHEDISHE RAMOKGOPA DROP -IN  CENTRE,CHARITIES,NORTH WEST,264198
45070,PHELADI COMMUNITY CRECHE,CHARITIES,NORTH WEST,188717
56531,PHILADELPHIA DROP-IN CENTRE,CHARITIES,NORTH WEST,146500
54162,PHUTHANANG HOME BASED CARE,CHARITIES,NORTH WEST,300000
55495,PIETERSBURG CHILD AND FAMILY CARE SOCIETY,CHARITIES,NORTH WEST,850637
50812,POTGIETERSRUS SERVICE CENTRE FOR THE AGED,CHARITIES,NORTH WEST,137741
51793,POVERTY ALLEVIATION & SUPPORT FOR PEOPLE LIVING WITH HIV  AIDS,CHARITIES,NORTH WEST,261700
52428,PRAKTISEER HOME COMMUNITY BASED CARE,CHARITIES,NORTH WEST,202269
52989,RAMOTSHINYADI HIV / AIDS YOUTH GUIDE,CHARITIES,NORTH WEST,670000
43026,"RE A KGONA MANKWENG DROP IN CENTRE FOR ORPHANS AND
VULNERABLE CHILDREN",CHARITIES,NORTH WEST,405629
58506,RE A SOMA COMMUNITY HOME BASED CARE,CHARITIES,NORTH WEST,200335
52257,REACH FOR LIFE HOME COMMUNITY BASED CARE GROUP,CHARITIES,NORTH WEST,118987
58591,REKGOTLELELENG DROP-IN-CENTRE,CHARITIES,NORTH WEST,183250
55430,REKHUDITSE CRECHE,CHARITIES,NORTH WEST,227850
59544,RELELENG DROP IN CENTRE,CHARITIES,NORTH WEST,375624
54183,RELIGIOUS HIV & AIDS PROJECT,CHARITIES,NORTH WEST,976416
53009,RETHABILE PRE-SCHOOL AND CRECHE,CHARITIES,NORTH WEST,99701
57462,RHANDZACECE CHILD DEVELOPMENT CENTRE,CHARITIES,NORTH WEST,380742
54414,RIHANYU DEVELOPMENT CENTRE,CHARITIES,NORTH WEST,300000
53012,RIKONISE HOME BASED CARE,CHARITIES,NORTH WEST,169200
56466,RINGETANI PRESCHOOL,CHARITIES,NORTH WEST,188445
55284,RIRHANDZU EARLY LEARN CENTRE,CHARITIES,NORTH WEST,113191
57532,RIVALA EARLY LEARNING CENTRE,CHARITIES,NORTH WEST,285280
51922,RODIIMISA HOME BASED CARE,CHARITIES,NORTH WEST,101400
59064,SAMARITAN FAMILY CARE ORGANISATION,CHARITIES,NORTH WEST,268930
52303,SAVF ELLISRAS,CHARITIES,NORTH WEST,90364
55578,SAVF HANSIE EN GRIETJIE DAGSORG,CHARITIES,NORTH WEST,228906
52235,SAVF MAROELA OORD,CHARITIES,NORTH WEST,60000
55256,SAVF MARTHA HOFMEYR TEHUIS,CHARITIES,NORTH WEST,165729
50533,SAVF POTGIETERSRUS GESINSORG,CHARITIES,NORTH WEST,248612
50532,SAVF RUSUURTJIE BEJAARDEGROEP,CHARITIES,NORTH WEST,51292
55568,SAVF THABAZIMBI,CHARITIES,NORTH WEST,222100
50929,SEHLOLA SECONDARY SCHOOL,CHARITIES,NORTH WEST,397244
52444,SEKOKO PRIMARY SCHOOL,CHARITIES,NORTH WEST,142000
50684,SEKURUWE SCHOOL,CHARITIES,NORTH WEST,324900
51673,SENTAHLE COMMUNITY HOME BASED ORGANISATION,CHARITIES,NORTH WEST,474500
59619,SEOBI-DIKGALE WAY-FORWARD CARE GROUP,CHARITIES,NORTH WEST,235700
52700,SEPHEMELA MANAGEMENT BODY FOR OLDER PERSONS,CHARITIES,NORTH WEST,24350
55647,SEREFETENG HOME BASED CARE,CHARITIES,NORTH WEST,215100
55579,SESHEGO IKAGENG COMMUNITY HBC & ORPHANS CENTRE,CHARITIES,NORTH WEST,337931
57492,SHAMMAH DROP IN CENTRE,CHARITIES,NORTH WEST,216209
51656,SHIKHUMBA DROP IN CENTRE,CHARITIES,NORTH WEST,229177
53020,SHIKUNDU HOME BASED CARE,CHARITIES,NORTH WEST,190850
53546,SHOTONG PRIMARY SCHOOL,CHARITIES,NORTH WEST,401500
59609,SILAWA DROP IN CENTRE,CHARITIES,NORTH WEST,668079
53424,SMILING FACES CRECHE,CHARITIES,NORTH WEST,180367
52338,SPCA PERCY FYFE (POTGIETERSRUS),CHARITIES,NORTH WEST,412786
40913,SUNSHINE CHILD DEVELOPMENT CENTRE'S,CHARITIES,NORTH WEST,428699
49929,SUNSHINE CHILD DEVELOPMENT CENTRE'S,CHARITIES,NORTH WEST,173499
52616,SUNSHINE HOME BASED CARE AND COUNSELLING ASSOCIATION,CHARITIES,NORTH WEST,119500
35829,SWARISHANANG CRECHE,CHARITIES,NORTH WEST,612075
51603,SWARISHANANG CRECHE,CHARITIES,NORTH WEST,247300
51365,TAAIBOSCH DROP IN CENTER,CHARITIES,NORTH WEST,199465
52126,TAAIBOSCH HOME BASED CARE,CHARITIES,NORTH WEST,582494
43684,TADIMANE SECONDARY SCHOOL,CHARITIES,NORTH WEST,24266
51945,THABANG HOME BASED CARE,CHARITIES,NORTH WEST,97000
56543,THABONG COMMUNITY ORPHANAGE CENTRE,CHARITIES,NORTH WEST,119675
58386,THARI YA SETSHABA,CHARITIES,NORTH WEST,178250
55295,THENGWE INTEGRATED CARE,CHARITIES,NORTH WEST,470000
53643,THOHOYANDOU VICTIM EMPOWERMENT PROGRAMME,CHARITIES,NORTH WEST,535558
53944,THONONDA COMMUNITY  HOME BASED CARE,CHARITIES,NORTH WEST,163700
52325,THUSANANG DROP IN CENTRE,CHARITIES,NORTH WEST,234027
50946,THUSANANG TRUST: HAENERTSBURG,CHARITIES,NORTH WEST,300760
55424,TIANGMAATLA HOME BASED CARE,CHARITIES,NORTH WEST,676000
51863,TIPFUXENI COMMUNITY COUNSELLING CENTRE,CHARITIES,NORTH WEST,69725
54156,TJIANE DROP IN CENTRE,CHARITIES,NORTH WEST,177500
51632,TLANGELANI COMMUNITY PROJECTS DEVELOPMENT AGENCY,CHARITIES,NORTH WEST,428150
51095,"TLANGELANI SOCIETY FOR THE CARE & SUPPORT OF THE AGED AND
VULNERABLE PEOPLE",CHARITIES,NORTH WEST,270961
58572,TLHAKODISA CRECHE,CHARITIES,NORTH WEST,84702
52002,TLOUNARE COMMUNITY CRECHE,CHARITIES,NORTH WEST,683360
58561,TONDANI DAY CARE CENTRE,CHARITIES,NORTH WEST,146250
50014,TONDANI HOME BASED CARE,CHARITIES,NORTH WEST,192250
51126,TSHAKHUMA DITIKE HOME BASED CARE,CHARITIES,NORTH WEST,154500
51422,TSHILAPFENE HOME BASED CARE,CHARITIES,NORTH WEST,82900
50962,TSHIRENZHENI COMMUNITY CRECHE,CHARITIES,NORTH WEST,156500
51969,TSHUBJE DROP IN CENTRE,CHARITIES,NORTH WEST,414000
57551,TSHWALE CRECHE,CHARITIES,NORTH WEST,150000
59046,TSWELOPELE HOME BASED CARE ORGANISATION,CHARITIES,NORTH WEST,151500
57266,VHUSHAVHELO AIDS PROJECT SUPPORT,CHARITIES,NORTH WEST,247740
59342,VONGANI CHILD & YOUTH CARE DEVELOPMENT,CHARITIES,NORTH WEST,1284650
