Project Number,Name,Province,Sector,Amount
48228,Bukelakithi Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
48119,Dumangobuhle Primary School,KWAZULU NATAL,SPORT & RECREATION,509270
48119,Dumangobuhle Primary School,KWAZULU NATAL,SPORT & RECREATION,400000
47113,Dundee Country Club,KWAZULU NATAL,SPORT & RECREATION,474400
47816,Durban Girls' High School,KWAZULU NATAL,SPORT & RECREATION,688546
46476,Durban North College,KWAZULU NATAL,SPORT & RECREATION,180000
46951,Durban Surf Lifesaving Club,KWAZULU NATAL,SPORT & RECREATION,493148
49293,Durban University Of Technology,KWAZULU NATAL,SPORT & RECREATION,600000
39815,Durbanville Sport Academy,KWAZULU NATAL,SPORT & RECREATION,404000
24186,Ekukhuleni High School,KWAZULU NATAL,SPORT & RECREATION,250000
47633,Emtateni Primary School,KWAZULU NATAL,SPORT & RECREATION,498650
46599,Ethekwini Tennis Association T/A Durban Tennis Association,KWAZULU NATAL,SPORT & RECREATION,480000
48216,Ezwelihle Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
24436,Falethu Primary School,KWAZULU NATAL,SPORT & RECREATION,50000
46271,Genesis Trust,KWAZULU NATAL,SPORT & RECREATION,126540
47889,Gezahlale Primary School,KWAZULU NATAL,SPORT & RECREATION,366250
47199,Greytown Country Club,KWAZULU NATAL,SPORT & RECREATION,200000
39443,Hoer Skool Amajuba,KWAZULU NATAL,SPORT & RECREATION,325000
47729,Hoer Skool Amajuba,KWAZULU NATAL,SPORT & RECREATION,400000
47867,Inkosenezigi Secondary School,KWAZULU NATAL,SPORT & RECREATION,210800
49069,Isinamuva High School,KWAZULU NATAL,SPORT & RECREATION,185000
46248,Keates Drift Combined Primary School,KWAZULU NATAL,SPORT & RECREATION,150000
47022,Kilbarchan Golf Club,KWAZULU NATAL,SPORT & RECREATION,540000
47239,Kloof Amateur Swimming Club,KWAZULU NATAL,SPORT & RECREATION,392508
47348,Kwandunge High School,KWAZULU NATAL,SPORT & RECREATION,180000
11203,KwaZulu Natal Aquatics,KWAZULU NATAL,SPORT & RECREATION,334000
24318,KwaZulu Natal Aquatics,KWAZULU NATAL,SPORT & RECREATION,766667
39629,KwaZulu Natal Canoe Union,KWAZULU NATAL,SPORT & RECREATION,462240
46594,KwaZulu Natal Canoe Union,KWAZULU NATAL,SPORT & RECREATION,1135155
47393,KwaZulu Natal Central Surf Lifesaving Association,KWAZULU NATAL,SPORT & RECREATION,749500
11200,KwaZulu Natal Cricket Union,KWAZULU NATAL,SPORT & RECREATION,431334
46636,KwaZulu Natal Olympic Style Boxing Organisation,KWAZULU NATAL,SPORT & RECREATION,1500000
32628,KwaZulu Natal Rugby Union,KWAZULU NATAL,SPORT & RECREATION,1883800
47182,KwaZulu Natal Society For The Blind,KWAZULU NATAL,SPORT & RECREATION,45000
39639,KwaZulu Natal Sports Association For Physically Disabled,KWAZULU NATAL,SPORT & RECREATION,372000
46550,KwaZulu Natal Tenpin Bowling Association,KWAZULU NATAL,SPORT & RECREATION,400000
39650,KwaZulu Natal Volleyball,KWAZULU NATAL,SPORT & RECREATION,520220
30184,KZN Inland Hockey Association,KWAZULU NATAL,SPORT & RECREATION,467500
32959,KZN Midlands Hockey Association,KWAZULU NATAL,SPORT & RECREATION,1794263
46657,Lifesaving Association KwaZulu Natal South,KWAZULU NATAL,SPORT & RECREATION,327480
49047,Linpark High School,KWAZULU NATAL,SPORT & RECREATION,179920
47647,Livangeli Primary School,KWAZULU NATAL,SPORT & RECREATION,480409
48116,Luphongolo Combined School,KWAZULU NATAL,SPORT & RECREATION,180000
48270,Mabaso Secondary School,KWAZULU NATAL,SPORT & RECREATION,180000
48332,Madlala Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
39403,Manor Gardens Primary School,KWAZULU NATAL,SPORT & RECREATION,288000
47040,Margate Country Club,KWAZULU NATAL,SPORT & RECREATION,461186
47635,Masotsheni Primary School,KWAZULU NATAL,SPORT & RECREATION,191844
48252,Mbondweni Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47868,Mbonomuhle Primary School,KWAZULU NATAL,SPORT & RECREATION,280810
46577,Midlands Tennis Association,KWAZULU NATAL,SPORT & RECREATION,287280
48254,Mkhuphulangwenya Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47422,Mlinganiswa Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47517,Mondlo Secondary School,KWAZULU NATAL,SPORT & RECREATION,180000
47634,Msinga High School,KWAZULU NATAL,SPORT & RECREATION,547380
23967,Mtshakela High School,KWAZULU NATAL,SPORT & RECREATION,250000
48217,Murchison Primary School,KWAZULU NATAL,SPORT & RECREATION,179900
48727,Mzimela High School,KWAZULU NATAL,SPORT & RECREATION,500000
48727,Mzimela High School,KWAZULU NATAL,SPORT & RECREATION,219650
46591,Natal Badminton Association,KWAZULU NATAL,SPORT & RECREATION,272025
46752,Natal Blind And Deaf Society,KWAZULU NATAL,SPORT & RECREATION,400000
47872,Ndikwe Primary School,KWAZULU NATAL,SPORT & RECREATION,414430
47462,New Guelderland Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47540,New West Secondary School,KWAZULU NATAL,SPORT & RECREATION,189239
46855,Ngxongwane Primary School,KWAZULU NATAL,SPORT & RECREATION,176000
47351,Nkayishana Primary School,KWAZULU NATAL,SPORT & RECREATION,400000
47865,Nkungumathe Primary School,KWAZULU NATAL,SPORT & RECREATION,124150
49043,Northdene Preparatory School,KWAZULU NATAL,SPORT & RECREATION,450000
46298,Northlands Girls High School,KWAZULU NATAL,SPORT & RECREATION,360676
47052,Northwood Crusaders Sports Club,KWAZULU NATAL,SPORT & RECREATION,320000
39412,Northwood School,KWAZULU NATAL,SPORT & RECREATION,350000
48533,Nsongweni Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47682,Ntabende Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47684,Nyoniyezwe High School,KWAZULU NATAL,SPORT & RECREATION,180000
47878,Ohlahla Primary School,KWAZULU NATAL,SPORT & RECREATION,293860
46819,Pinetown Gymnastics Club,KWAZULU NATAL,SPORT & RECREATION,240000
46819,Pinetown Gymnastics Club,KWAZULU NATAL,SPORT & RECREATION,300000
47531,Playing For Peace,KWAZULU NATAL,SPORT & RECREATION,125400
38824,Sa Lifesaving,KWAZULU NATAL,SPORT & RECREATION,997500
39752,Sa Lifesaving,KWAZULU NATAL,SPORT & RECREATION,600000
46700,Sa Lifesaving,KWAZULU NATAL,SPORT & RECREATION,1000000
46643,SAFA Amajuba,KWAZULU NATAL,SPORT & RECREATION,400000
32688,SAFA Umzinyathi,KWAZULU NATAL,SPORT & RECREATION,514250
39709,Sail Africa Youth Development Foundation,KWAZULU NATAL,SPORT & RECREATION,160000
48424,Sangoyana Primary School,KWAZULU NATAL,SPORT & RECREATION,160000
39483,Sarasvati Primary School,KWAZULU NATAL,SPORT & RECREATION,197119
46247,Scottburgh  Surf Lifesaving Club,KWAZULU NATAL,SPORT & RECREATION,543800
46948,Scottburgh Golf Club,KWAZULU NATAL,SPORT & RECREATION,200000
48225,Sibusisile Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
47724,Sigisi Primary School,KWAZULU NATAL,SPORT & RECREATION,560000
48258,Siyaphambili Primary School,KWAZULU NATAL,SPORT & RECREATION,180000
48417,Siyavuna Primary School,KWAZULU NATAL,SPORT & RECREATION,400000
46704,South African Underwater Fishing Federation,KWAZULU NATAL,SPORT & RECREATION,717000
47300,Southport Bowling Club,KWAZULU NATAL,SPORT & RECREATION,50000
46898,Stella Sports Club,KWAZULU NATAL,SPORT & RECREATION,350035
48376,Strelitzia Secondary School,KWAZULU NATAL,SPORT & RECREATION,499165
46359,Suncoast Pirates Surf Lifesaving Club,KWAZULU NATAL,SPORT & RECREATION,393850
47372,Sunflower Women Football Club,KWAZULU NATAL,SPORT & RECREATION,453101
47181,The Mercury Hibberdene Children's Holiday Home Association,KWAZULU NATAL,SPORT & RECREATION,45600
46294,Trubel Primary School,KWAZULU NATAL,SPORT & RECREATION,416608
47363,Ukukhanya Komsinga Special School,KWAZULU NATAL,SPORT & RECREATION,200000
46984,Umhlanga Rocks Surf Lifesaving Club,KWAZULU NATAL,SPORT & RECREATION,437500
48423,Umkosi High School,KWAZULU NATAL,SPORT & RECREATION,400000
46516,Umshwathi Municipality,KWAZULU NATAL,SPORT & RECREATION,565000
48227,Upper Mhlathuze Primary School,KWAZULU NATAL,SPORT & RECREATION,191230
48996,Verulam Secondary School,KWAZULU NATAL,SPORT & RECREATION,179998
46933,Victoria Country Club,KWAZULU NATAL,SPORT & RECREATION,454000
39764,Warnadoone Surf Lifesaving Club,KWAZULU NATAL,SPORT & RECREATION,238400
47063,Wasbank Boxing Club,KWAZULU NATAL,SPORT & RECREATION,253524
47543,Wingen Heights Secondary School,KWAZULU NATAL,SPORT & RECREATION,182400
48440,Zakheleni Primary School,KWAZULU NATAL,SPORT & RECREATION,400000
48034,Zijubezulu Primary School Project,KWAZULU NATAL,SPORT & RECREATION,394178
47875,Zikhali Primary School,KWAZULU NATAL,SPORT & RECREATION,180030
48729,Zimsele Primary School,KWAZULU NATAL,SPORT & RECREATION,500000
48421,Ziphozonke High School,KWAZULU NATAL,SPORT & RECREATION,665000
47639,Zizi Primary School,KWAZULU NATAL,SPORT & RECREATION,685000
31954,Akanani Rural Development Association,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",2405480
41843,Children's Eco Training,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",835170
22922,Edupark,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",1347700
42984,Eighty Six Manka,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",117280
42984,Eighty Six Manka,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",29320
43996,Get Down Productions,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",4160113
21713,Haenertsburg Development Foundation,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",978519
21713,Haenertsburg Development Foundation,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",978525
56066,Kgwana Community Centre,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",548880
41970,Lapalala Wilderness School,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",800000
44006,Limpopo Foundation,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",2035800
41869,Limpopo Youth Orchestra,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",1890496
43357,Makotse Women's Club,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",799710
43311,Maloba Primary School,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",52189
41177,Mohodi Community Radio Station,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",283780
44493,Ndima Community  Services,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",1186344
29933,Phakgamang Community Development Centre,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",336826
41498,Poverty Alleviation And Support For People Living With HIV & Aids,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",2226818
41498,Poverty Alleviation And Support For People Living With HIV & Aids,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",665151
21270,Timbila Poetry Project,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",1481000
44494,Zwoitwa Community Project,LIMPOPO,"ARTS, CULTURE & NATIONAL HERITAGE",362466
44688,Abel Secondary School,LIMPOPO,CHARITIES,484518
35020,Akanani Rural Development Association,LIMPOPO,CHARITIES,621340
52278,Amogetsanang Drop In Centre,LIMPOPO,CHARITIES,448315
44601,Bahlaloga Community Home Based Care,LIMPOPO,CHARITIES,615611
50346,Bob Mmola Drop In Centre,LIMPOPO,CHARITIES,104750
42546,Bontshang Bokgwari Drop In Centre,LIMPOPO,CHARITIES,191022
42546,Bontshang Bokgwari Drop In Centre,LIMPOPO,CHARITIES,500000
52215,Bophelong Health Care Nutrition Project,LIMPOPO,CHARITIES,555404
45051,Bophelong Home Based Care & HIV Peers,LIMPOPO,CHARITIES,109900
44431,Boreletsane Primary School,LIMPOPO,CHARITIES,284354
41702,Bosele Dawn Drop In Centre,LIMPOPO,CHARITIES,607481
50009,Bula Mahlo Home Based Care,LIMPOPO,CHARITIES,187500
44790,Centre For Positive Care,LIMPOPO,CHARITIES,1448500
41619,Christelik - Maatskaplike Raad Warmbad,LIMPOPO,CHARITIES,291840
41595,Christian Social Council Messina,LIMPOPO,CHARITIES,120637
44328,Co Op Crèche,LIMPOPO,CHARITIES,303300
52280,Comprehensive Health Care: Choice  Trust,LIMPOPO,CHARITIES,240000
50538,Davieshof Sentrum,LIMPOPO,CHARITIES,119795
41027,De Vrede Drop In Centre,LIMPOPO,CHARITIES,334280
52240,Dikgale Home Based Care,LIMPOPO,CHARITIES,444531
41255,Dirisanang Drop In Centre,LIMPOPO,CHARITIES,118375
41172,Disha Home Based Care,LIMPOPO,CHARITIES,278999
52448,Dithabaneng Drop-In Centre,LIMPOPO,CHARITIES,163050
52445,Ditshidze Health Care Project,LIMPOPO,CHARITIES,167901
50006,Elim Care Group Project,LIMPOPO,CHARITIES,175000
51082,Emahnadis Day Care Centre & Community  Development Project,LIMPOPO,CHARITIES,116500
35438,Fahloshanang Bakgaga Centre,LIMPOPO,CHARITIES,838940
45690,FAMSA Limpopo Tzaneen,LIMPOPO,CHARITIES,809600
43902,Far North Network On Family Violence,LIMPOPO,CHARITIES,241150
50196,Fefe Home Based Care Project,LIMPOPO,CHARITIES,220949
40719,Folang Home Community Based Care,LIMPOPO,CHARITIES,240332
44177,Get Ready Information Services,LIMPOPO,CHARITIES,300000
51113,Greater Giyani Older Persons Forum,LIMPOPO,CHARITIES,229675
43517,Hakala Primary School,LIMPOPO,CHARITIES,283120
44965,Home Tekna (Place Of Safety Cum Children's Home),LIMPOPO,CHARITIES,718500
50442,Home Tekna (Place Of Safety Cum Children's Home),LIMPOPO,CHARITIES,467000
43051,Horizon Thusanang,LIMPOPO,CHARITIES,2174580
44209,Human Resource And Social Information Centre,LIMPOPO,CHARITIES,455500
51713,Ikholofeleng Service Club,LIMPOPO,CHARITIES,184094
40898,Itekeng Ntagane Crèche,LIMPOPO,CHARITIES,49756
43976,Itireleng Educational Project,LIMPOPO,CHARITIES,579000
45436,Itumeleng Communities Orphanage Centre,LIMPOPO,CHARITIES,245360
44667,Jonas Lesetja Ledwaba Primary School,LIMPOPO,CHARITIES,240559
51902,Judy's Paradise Home For CP Children,LIMPOPO,CHARITIES,339216
44135,Kapanang Youth Club,LIMPOPO,CHARITIES,264000
51329,Kgobokoane Youth On Aids Awareness,LIMPOPO,CHARITIES,241336
42020,Khanimamba Training And Resource Centre,LIMPOPO,CHARITIES,329250
42405,Khavhambe Home Based Care Group,LIMPOPO,CHARITIES,130250
50129,Khavhambe Home Based Care Group,LIMPOPO,CHARITIES,724683
45493,Kholofelo Community Home Based Care,LIMPOPO,CHARITIES,217380
52581,Kibi Community Home Based Care,LIMPOPO,CHARITIES,66600
51646,Kingdom Kids Care Centre And Projects,LIMPOPO,CHARITIES,132848
49954,Kodumela Moepa Thutse,LIMPOPO,CHARITIES,511760
34420,Kodumela Moepa Thutse Drop In Centre,LIMPOPO,CHARITIES,193181
43097,Kukanang Women's Development Project,LIMPOPO,CHARITIES,139000
52443,Kwokwane Home Based Care,LIMPOPO,CHARITIES,217668
52649,Lebogang Aged Club,LIMPOPO,CHARITIES,52386
44654,Lehlogedi Community Home Based Care,LIMPOPO,CHARITIES,350384
44242,Lekukela Primary School,LIMPOPO,CHARITIES,79116
43229,Lenkwane La Maphiri Drop In Centre,LIMPOPO,CHARITIES,315993
50354,Lenyenye Crèche,LIMPOPO,CHARITIES,142995
51003,Lepelle Health And Social Services Consortium,LIMPOPO,CHARITIES,267400
42176,Lesedi Community Crèche,LIMPOPO,CHARITIES,241000
49715,Londanani Home Based Care,LIMPOPO,CHARITIES,480750
49715,Londanani Home Based Care,LIMPOPO,CHARITIES,480750
53103,Londolani Home Based Care Organization,LIMPOPO,CHARITIES,103755
52838,Love And Peace Home Based Care,LIMPOPO,CHARITIES,143027
52170,Lucas Community Crèche,LIMPOPO,CHARITIES,101000
50640,Lulama Health Development Organisation,LIMPOPO,CHARITIES,467250
45021,Lusaka Primary School,LIMPOPO,CHARITIES,208817
44230,Mabje-A-Kgoro Primary School,LIMPOPO,CHARITIES,701275
45087,Mabotsha Home Based Care Project,LIMPOPO,CHARITIES,256700
45087,Mabotsha Home Based Care Project,LIMPOPO,CHARITIES,256700
50745,Magoshi Primary School,LIMPOPO,CHARITIES,273612
43694,Mahlabela Secondary School,LIMPOPO,CHARITIES,918632
43694,Mahlabela Secondary School,LIMPOPO,CHARITIES,918631
51659,Mahlathi Drop In Centre,LIMPOPO,CHARITIES,212533
42871,Makgatsike Primary School,LIMPOPO,CHARITIES,941968
41795,Makgaung Primary School,LIMPOPO,CHARITIES,2236661
43838,Makgwahleng Secondary School,LIMPOPO,CHARITIES,875000
43838,Makgwahleng Secondary School,LIMPOPO,CHARITIES,875000
52245,Makonde Home Based Care,LIMPOPO,CHARITIES,99753
44439,Maloba Primary School,LIMPOPO,CHARITIES,816415
44439,Maloba Primary School,LIMPOPO,CHARITIES,816416
41050,Mamphela Ramphele Crèche,LIMPOPO,CHARITIES,282129
51134,Mandela Paradise Pre-School,LIMPOPO,CHARITIES,82525
45345,Mangwako Wa Motepa Pre-School,LIMPOPO,CHARITIES,187537
45269,Manokwe High School,LIMPOPO,CHARITIES,79116
51183,Maolinyana Day Care Centre,LIMPOPO,CHARITIES,416555
45175,Maolwe High School,LIMPOPO,CHARITIES,79116
49610,Mapate HIV /Aids Awareness And Welfare Project,LIMPOPO,CHARITIES,282806
50195,Mapungubwe Home Based Care,LIMPOPO,CHARITIES,130000
44430,Masokisi Primary School,LIMPOPO,CHARITIES,79116
51520,Matavhela Home Based Care Project,LIMPOPO,CHARITIES,114500
51520,Matavhela Home Based Care Project,LIMPOPO,CHARITIES,114500
42884,Matianyane Primary School,LIMPOPO,CHARITIES,1085133
42884,Matianyane Primary School,LIMPOPO,CHARITIES,1085133
45736,Matlala Advice Office,LIMPOPO,CHARITIES,779328
44437,Matome Modika High School,LIMPOPO,CHARITIES,79116
51455,Matome Pheeha Drop In Centre,LIMPOPO,CHARITIES,198900
44433,Medingen Primary School,LIMPOPO,CHARITIES,1593796
44433,Medingen Primary School,LIMPOPO,CHARITIES,1593796
41304,Mmaditshika Primary School,LIMPOPO,CHARITIES,894721
49933,Mmamoseki Crèche,LIMPOPO,CHARITIES,93000
42870,Mmatlou Primary School,LIMPOPO,CHARITIES,1158271
45551,Modiane Drop In And Multipurpose Centre,LIMPOPO,CHARITIES,232250
45551,Modiane Drop In And Multipurpose Centre,LIMPOPO,CHARITIES,232250
45260,Modika Secondary School,LIMPOPO,CHARITIES,199798
42878,Mogalatsana Primary School,LIMPOPO,CHARITIES,968795
42878,Mogalatsana Primary School,LIMPOPO,CHARITIES,968765
44432,Mohlaloganyi,LIMPOPO,CHARITIES,491235
42464,Mokopane Victim Support Centre,LIMPOPO,CHARITIES,149478
51792,Monamodi Matsepe Secondary School,LIMPOPO,CHARITIES,450000
44219,Mookgo High School,LIMPOPO,CHARITIES,400000
44219,Mookgo High School,LIMPOPO,CHARITIES,400000
44222,Morutsi Primary School,LIMPOPO,CHARITIES,934786
44222,Morutsi Primary School,LIMPOPO,CHARITIES,934785
51670,Mosima Primary School,LIMPOPO,CHARITIES,33200
44220,Mothomeng Primary School,LIMPOPO,CHARITIES,162045
44797,Motlolatsoku Primary School,LIMPOPO,CHARITIES,330000
51117,Mphe Batho Day Care,LIMPOPO,CHARITIES,300000
42126,Mphego Child Resource Centre,LIMPOPO,CHARITIES,123350
42003,Muhanelwa Secondary School,LIMPOPO,CHARITIES,617208
42003,Muhanelwa Secondary School,LIMPOPO,CHARITIES,617208
51709,Mukula Home Based Care,LIMPOPO,CHARITIES,105675
52096,Mulenzhe Community Home Based Care Project,LIMPOPO,CHARITIES,200000
50466,Mulodi Phalama Community Home Based Care,LIMPOPO,CHARITIES,192725
41851,Munna Ndi Nnyi,LIMPOPO,CHARITIES,384000
50325,Mvelaphanda Home Based Care And Aids Awareness,LIMPOPO,CHARITIES,167500
42372,Ndengeza Educare Centre,LIMPOPO,CHARITIES,486465
44683,Nebo Community Victim Support Centre,LIMPOPO,CHARITIES,300000
44683,Nebo Community Victim Support Centre,LIMPOPO,CHARITIES,228750
51587,Ngwana Swara Atla Saka,LIMPOPO,CHARITIES,123553
40943,Nhlayiseko Early Learning Centre,LIMPOPO,CHARITIES,219802
36340,Nhlayiso Community Health & Counselling Centre,LIMPOPO,CHARITIES,458715
40675,Nhluvuko Child Care Centre,LIMPOPO,CHARITIES,667989
44647,Nkgele Primary School,LIMPOPO,CHARITIES,443724
41190,Nkuri Health Development Organisation,LIMPOPO,CHARITIES,228909
41505,Nthabalala Home Based Care,LIMPOPO,CHARITIES,135500
44091,Ntshunxeko Health Development Organisation,LIMPOPO,CHARITIES,1472995
42538,Olifantshoek Day Care Centre,LIMPOPO,CHARITIES,272009
42869,Pelabela Primary School,LIMPOPO,CHARITIES,1469296
50367,Pfukani Early Learning Centre,LIMPOPO,CHARITIES,172250
50486,Pfunanani Home Based Care,LIMPOPO,CHARITIES,111750
41124,Phalaborwa Maatskaplike Raad,LIMPOPO,CHARITIES,50000
45070,Pheladi Community Crèche,LIMPOPO,CHARITIES,188717
42545,Pholosho Care Centre,LIMPOPO,CHARITIES,616091
41711,Phuthaditshaba Home Based Care,LIMPOPO,CHARITIES,57400
51662,Phuthaditshaba Home Based Care,LIMPOPO,CHARITIES,174500
44403,Piet N Aphane Secondary School,LIMPOPO,CHARITIES,741887
50977,Piet Potgieter: Tak Van Monumenttehuis Van Die NHSV Groep,LIMPOPO,CHARITIES,933832
42877,Pitsi A Mashilo Primary School,LIMPOPO,CHARITIES,1469296
35808,Prestige Community Crèche,LIMPOPO,CHARITIES,36800
44227,Ramakhuma Primary School,LIMPOPO,CHARITIES,407013
44227,Ramakhuma Primary School,LIMPOPO,CHARITIES,407013
45255,Ramaolwane High School,LIMPOPO,CHARITIES,79116
49893,Ramotshinyadi HIV / Aids Youth Guide,LIMPOPO,CHARITIES,767200
43026,"Re A Kgona Mankweng Drop In Centre For Orphans & Vulnerable
Children",LIMPOPO,CHARITIES,405630
52257,Reach For Life Home Community Based Care Group,LIMPOPO,CHARITIES,118987
49756,Rehlahlilwe Home Community Based Care,LIMPOPO,CHARITIES,300000
49756,Rehlahlilwe Home Community Based Care,LIMPOPO,CHARITIES,211649
42503,Rekhuditse Crèche,LIMPOPO,CHARITIES,167216
42503,Rekhuditse Crèche,LIMPOPO,CHARITIES,167217
42976,Religious HIV/Aids Drop In Centre,LIMPOPO,CHARITIES,231000
53009,Rethabile Pre-School And Crèche,LIMPOPO,CHARITIES,99700
43108,Rhandzacece Child Development Centre,LIMPOPO,CHARITIES,109010
50108,Rihone Home Based Care,LIMPOPO,CHARITIES,376250
53012,Rikonise Home Based Care,LIMPOPO,CHARITIES,169200
52053,Ritshidze Home Base Care,LIMPOPO,CHARITIES,207545
49780,Rivoni Society For The Blind,LIMPOPO,CHARITIES,458000
51570,Rivoningo Mashobye Community  Home Based Care,LIMPOPO,CHARITIES,194565
41980,Sacred Heart Mission Clinic,LIMPOPO,CHARITIES,94157
35813,Santa Potgietersrus Branch,LIMPOPO,CHARITIES,162300
42377,Sasekani Community  Home Base  Care,LIMPOPO,CHARITIES,77400
50344,SAVF Magnus Dagsorg,LIMPOPO,CHARITIES,163000
52929,SAVF Pietersburg Gesinsorg,LIMPOPO,CHARITIES,187320
43280,SAVF Tzaneen Gesinsorg,LIMPOPO,CHARITIES,353202
49969,Sego Monene Training And Resource Centre,LIMPOPO,CHARITIES,198000
51673,Sentahle Community Home Based Organisation,LIMPOPO,CHARITIES,474500
42374,Shibangwa Crèche,LIMPOPO,CHARITIES,145500
50323,Shining Path Home Based Care,LIMPOPO,CHARITIES,153300
49945,Sikhulile Educare Centre,LIMPOPO,CHARITIES,111528
29067,Sivukile Education & Training Trust,LIMPOPO,CHARITIES,327500
44673,Society For The Prevention  Of Cruelty To Animals - Phalaborwa,LIMPOPO,CHARITIES,789588
51387,SPCA Louis Trichardt,LIMPOPO,CHARITIES,240000
52296,Suid Afrikaanse Vrouefederasie Ellisras Gesinsorg,LIMPOPO,CHARITIES,96000
40913,Sunshine Child Development Centre's,LIMPOPO,CHARITIES,428700
49929,Sunshine Child Development Centre's,LIMPOPO,CHARITIES,173500
52616,Sunshine Home Based Care And Counselling Association,LIMPOPO,CHARITIES,119500
42371,Taaibosch Home Based Care,LIMPOPO,CHARITIES,120000
43059,Takalani - Nana Home Care Centre,LIMPOPO,CHARITIES,756847
42260,Thabang Children's Home Trust,LIMPOPO,CHARITIES,137850
52243,Thabang Children's Home Trust,LIMPOPO,CHARITIES,194862
51945,Thabang Home Based Care,LIMPOPO,CHARITIES,100000
36396,Thabang Mogari Crèche,LIMPOPO,CHARITIES,125000
49928,Thandululo Counselling Organisation,LIMPOPO,CHARITIES,889487
51190,The Angels Day Care Centre,LIMPOPO,CHARITIES,99464
42394,Thengwe Integrated Care  And Prevention,LIMPOPO,CHARITIES,126800
42413,Thoma Home Based Care,LIMPOPO,CHARITIES,209365
44627,Thukakgaladi Integrated Development Project,LIMPOPO,CHARITIES,698597
41508,Tiangmaatla Home Based Care,LIMPOPO,CHARITIES,573431
42369,Tirisano Home Community Based Care,LIMPOPO,CHARITIES,340900
31312,Tlangelani Community Projects Development Agency,LIMPOPO,CHARITIES,32790
44434,Tlhabeleni Primary School,LIMPOPO,CHARITIES,28582
51418,Tshandama / Lukau Drop In Centre,LIMPOPO,CHARITIES,446098
42079,Tshanduko Home Based Care,LIMPOPO,CHARITIES,130599
51422,Tshilapfene Home Based Care,LIMPOPO,CHARITIES,100000
51022,Tshilidzi Community Crèche,LIMPOPO,CHARITIES,132750
51065,Tshimbupfe Home Based Care,LIMPOPO,CHARITIES,195424
50962,Tshirenzheni Community Crèche,LIMPOPO,CHARITIES,156500
45195,Tshweni High School,LIMPOPO,CHARITIES,79116
51234,Vhangani Primary School,LIMPOPO,CHARITIES,351393
36411,Vongani Child & Youth Development Project,LIMPOPO,CHARITIES,169500
42402,Vuyeriwani Development Organisation,LIMPOPO,CHARITIES,131722
51695,Waterberg Welfare Society,LIMPOPO,CHARITIES,250000
51799,Hluzingqondo Community Educare,MPUMALANGA,CHARITIES,102100
41630,Hospice Of White River,MPUMALANGA,CHARITIES,538200
45165,Huis Immergroen - Piet Retief Rusoord,MPUMALANGA,CHARITIES,181345
45077,Joy Home Based Care,MPUMALANGA,CHARITIES,1115953
50188,Kamhlushwa Old Age Group,MPUMALANGA,CHARITIES,95990
49633,Khulakahle Educare Centre,MPUMALANGA,CHARITIES,719868
53385,Kumani Pre-School,MPUMALANGA,CHARITIES,111390
50585,Kurisani Crèche,MPUMALANGA,CHARITIES,214900
50334,Langeloop Home Based Care,MPUMALANGA,CHARITIES,350000
42161,Lekanang Primary School,MPUMALANGA,CHARITIES,977500
44199,Leseding Educare Centre,MPUMALANGA,CHARITIES,148055
44199,Leseding Educare Centre,MPUMALANGA,CHARITIES,450000
49927,Likusasa Letfu Service Centre,MPUMALANGA,CHARITIES,74735
49646,Lindo Kuhle Super Day Care,MPUMALANGA,CHARITIES,242195
49834,Lydenburg Rusoord,MPUMALANGA,CHARITIES,829000
53172,Mabana Educare Centre,MPUMALANGA,CHARITIES,306922
51456,Mada Day Care Centre,MPUMALANGA,CHARITIES,300000
51767,Makhundu Christian Support,MPUMALANGA,CHARITIES,322360
