Name,Sector,Amount
Girl Guides Association of SA,Charities,520800
Girls & Boys Town South Africa,Charities,4410951
Girls & Boys Town South Africa,Charities,2106577
God Care Day Care Centre,Charities,350000
Goldfields Hospice Association,Charities,808000
Goldfields OFS Society for the Blind,Charities,561017
Good Hope Development Fund,Charities,730899
Good Hope Foundation,Charities,100000
Good Hope Psychological Service,Charities,796972
"Good Samaritan Child & Youth Care
Centre",Charities,1109794
Good Shepherd Fatima House,Charities,540982
Good Shepherd Hospice,Charities,-66603
Good Shepherd Mission,Charities,1066000
Gorutha Centre,Charities,400000
Gorutha Centre,Charities,144510
"Graaff Reinet Child & Family Welfare
Society",Charities,404764
"Grabouw & District Child & Family
Welfare Society",Charities,1618423
Grace and Love Day Care Centre,Charities,326708
Grace Help Centre,Charities,458112
"Grahamstown Child & Family Welfare
Society",Charities,666795
Grahamstown Hospice,Charities,1365964
Grahamstown TB Care Society,Charities,898448
Grail Centre Trust,Charities,458861
Grail Centre Trust,Charities,199645
Graslaagte Primary School,Charities,97000
"Greater Germiston Society for Child &
Family Welfare Society",Charities,1680525
"Greater Molweni Community Resource
Centre",Charities,544290
"Greater Nelspruit Rape Intervention
Project",Charities,837950
"Greater Nelspruit Rape Intervention
Project",Charities,2571976
"Greater Soweto Assoc for Early
Childhood Development",Charities,1012586
"Greater Stellenbosch Development
Trust",Charities,1695000
"Greater Stellenbosch Development
Trust",Charities,468500
Greenvillage Educare Centre,Charities,75000
Ha Phororo/Empophomeni (Waterfall),Charities,1148000
Hamlet Foundation,Charities,1492457
Hantam Community Education Trust,Charities,2068000
Happy Day Creche,Charities,199563
Happy Hearts Safe House,Charities,91000
Harmonie Park,Charities,991390
Harmonie Park,Charities,991390
Haven Night Shelter,Charities,5128024
Haven Wellness Centre,Charities,416710
Headway Gauteng,Charities,463227
Hearts of Hope,Charities,243439
Heart-to-Heart Care Centre,Charities,255000
"Heaven's Nest (Child Care & Recreation
Centre)",Charities,303182
Helderberg Hospice,Charities,1131954
Helderberg Stroke Support Group,Charities,19900
"Helen Bishop Orthopaedic After Care
Home",Charities,695438
"Helen Bishop Orthopaedic After Care
Home",Charities,892480
Help2Read,Charities,461537
Helping Hand Hospice,Charities,492500
Herfsland Home for the Aged,Charities,882730
Hermanus Rainbow Trust,Charities,671680
"Hermanus Society Welfare Aged -
SOFCA",Charities,488683
Herschel Legal Advice Centre,Charities,414651
"Highveld Association for the Physically
Disabled",Charities,957920
Highveld East Aids Project Support,Charities,2845308
Highveld East Aids Project Support,Charities,1497000
Highveld Ridge SPCA,Charities,469945
Highway Aged,Charities,420610
Highway Aged,Charities,290000
Highway Home Projects,Charities,681974
Highway Hospice Association,Charities,3000000
Hitekani Creche,Charities,137500
Hitekani Creche,Charities,247100
HIV / AIDS Prevention Group,Charities,244000
Hlanganani CFW Society,Charities,154500
"Hlatlolanang Health & Nutrition
Education Centre",Charities,3583600
"Hlokomela Wa Heno - Catholic
Community Services",Charities,1000000
"Holy Cross Child & Youth Care (Holy
Cross Orphanage)",Charities,360000
Home from Home Trust,Charities,60000
Home Start South Africa,Charities,109392
Home Start South Africa,Charities,408488
Homeless Peoples Sanctuary Retreat,Charities,372661
Homestead,Charities,973001
HOPE Foundation,Charities,111760
Hope House Counselling Centre,Charities,150244
Hope in Victory Care Givers,Charities,-900000
Horizon Thusanang,Charities,2210243
Hospice Association of Kimberley,Charities,897220
Hospice Association of Kimberley,Charities,686000
Hospice Association of Transkei,Charities,103500
Hospice East Rand,Charities,2281492
Hospice in the West,Charities,1670500
Hospice Ladybrand,Charities,709000
"Hospice Matlosana (prev Hospice North
West)",Charities,2528427
Hospice Rustenburg,Charities,646587
Houmoed Shelter Hermanus,Charities,231640
House of Mercy,Charities,1673237
House of Mercy,Charities,1914790
Howick Hospice Association,Charities,791420
Howick Hospice Association,Charities,1347146
Hugenote Kollege-Christen Vigsburo,Charities,265000
Hugenote Kollege-Christen Vigsburo,Charities,561200
"Huis Emily Hobhouse (Koppies
Ouetehuis)",Charities,476627
Huis Hoeveld (Stigting vir Bejaardes),Charities,570000
Huis Louisa Meyburgh,Charities,1146569
Huis Silwerjare,Charities,350860
Huis Spitskop Old Age Home,Charities,910470
Huis Welverdiend,Charities,809050
Hurdy Gurdy House,Charities,439696
Ikageng Kromhoek Drop-in Centre,Charities,150592
Ikageng Kromhoek Drop-in Centre,Charities,150592
Ikageng Old Age Relief Centre,Charities,3311935
Ikeletse Ka Kopano,Charities,195480
Ikhaya Labantwana Creche,Charities,21150
Ikhayalethemba Project,Charities,118287
Ikhayalethemba Project,Charities,601500
Ikhulubone Trust,Charities,548569
Ikhwezi Creche,Charities,330539
Ikhwezi Welfare Organisation,Charities,462460
Ikwezi Lokusa Rehabilitation,Charities,1175000
Ikwezi Womens Support Centre,Charities,728314
Ilitha Educare Centre,Charities,200000
Imamelle Day Care Centre,Charities,138050
Imbewu Community Volunteers,Charities,547488
Imizamo Yethu Day Care Centre,Charities,585299
"Impendle & District Child & Family
Welfare Society",Charities,259298
Impilo Place of Safety,Charities,514467
"Inanda Newtown & District Child &
Family Welfare Society",Charities,302613
"Incaba Old Age Home Base Care
Centre",Charities,770720
Includid Maitland,Charities,782342
Indatshe Primary School,Charities,476000
Indlela,Charities,452750
Indlela,Charities,1364000
Inkwanca Home Based Care,Charities,529109
Inkwenkwezi Educare Centre,Charities,300000
Institute for Healing of Memories Trust,Charities,325000
Institute for Healing of Memories Trust,Charities,325000
Institute for Primary Health,Charities,924578
Institute for Social Concerns,Charities,438430
Institute for the Blind - Pioneer School,Charities,500000
Institute for the Blind Industries,Charities,870697
Interface Kwazulu-Natal,Charities,100000
Interface Kwazulu-Natal,Charities,339445
Irene Homes,Charities,1155842
Isiphephelo Home Based Care,Charities,373275
Issy Geshen Lamont Home,Charities,1143677
Issy Geshen Lamont Home,Charities,1749443
Itekeng Ntagane Creche,Charities,49756
"Ithlokomeleng Assoc. of Aged &
Disabled Persons",Charities,2158301
"Ithuseng Centre for Persons with
Disabilities",Charities,369890
Itireleng Community Advice Centre,Charities,505566
Itireleng Day Care,Charities,24000
Izandla Zethemba Aids Projects,Charities,520308
Jabulani Khakibos Kids,Charities,1294594
Jacaranda Haven,Charities,939817
Jagersbosch Community Care Centre,Charities,914865
Jeremiah 29 Community Care,Charities,350000
"Jersey Farm Advice & Information
Centre",Charities,311702
Jerusalem Ministries,Charities,450002
Jesus & Me Pre-Primary School,Charities,57195
Jeugland Dienssentrum,Charities,23260
Jeugland Dienssentrum,Charities,135300
JHB Child Welfare Society,Charities,1579905
JHB Child Welfare Society,Charities,6817776
"Jhb Jewish Helping Hand & Burial
Society",Charities,4286292
JHB Parent & Child Counselling Centres,Charities,1980000
JM Mosiane Primary School,Charities,560661
Johanna Raath  Service Centre,Charities,163300
"Johannesburg Institute of Social
Services",Charities,1421439
Johannesburg Society for the Blind,Charities,3634909
Johannesburg Society for the Blind,Charities,1722000
John Wesley Community Centre,Charities,218400
John Wesley Community Centre,Charities,714880
Josef Matwa Old Age Home,Charities,674925
Joseph Gerard Home of Peace,Charities,1110000
Joy Home Based Care,Charities,454114
JS Mminele Child & Youth Care Centre,Charities,2137586
Julia Lethabong Day Care,Charities,60610
Justice & Women,Charities,105749
Kadimah Occupational Centre,Charities,138300
Kamieskroon Primary School,Charities,256822
"Kamohelo Childrens Centre (Kamohelo
Disabled Association)",Charities,1102438
Kanana Mental Health Care Centre,Charities,132250
Karoo Animal Protection Society,Charities,236208
Karoo Animal Protection Society,Charities,290200
Karoo Centre for Human Rights,Charities,1055595
Katlego Day Care Centre,Charities,60521
"Keletsong Community Training &
Resource Centre",Charities,925235
"Keletsong Community Training &
Resource Centre",Charities,605160
Kellysville Primary School,Charities,589635
"Kerklike Maatskaplike Diens
Bloemfontein",Charities,2033016
"Kerklike Maatskaplike Diens
Bloemfontein",Charities,330585
Kerklike Maatskaplile Dienste,Charities,494740
"Kerklike Maatskaplile Dienste
Bloemfontein",Charities,75000
"Kerklike Maatskaplile Dienste
Bloemfontein",Charities,75000
Kgatsheng Middle (Secondary) School,Charities,952044
Kgosi Neighbourhood Foundation,Charities,305428
Kgothatsanang Organisation,Charities,198400
Kgothatsanang Organisation,Charities,420000
Kgwana Community Centre,Charities,1143213
Kgwana Community Centre,Charities,524000
"Khanimamba Training & Resource
Centre",Charities,329250
Khanya Community Based Organisation,Charities,480000
Khanya Community Based Organisation,Charities,800
Khanya Family Centre,Charities,2391000
Khavhambe Home Based Care Group,Charities,130250
Khazimula Children's Project,Charities,278620
Kheaphole Day Care Centre,Charities,86956
Khulisa Crime Prevention Initiative,Charities,1263410
"Khululeka Community Education
Development Centre",Charities,1625000
Kids Haven Benoni,Charities,1213732
Kids Haven Benoni,Charities,3036347
Kimberley Child Care (CFW),Charities,1796914
Kingdom Ministries Trust,Charities,1000000
Kinross Golden Oldies,Charities,300000
Klein Karoo Resource Centre,Charities,966000
"Kleinmond Child & Family Welfare
Society",Charities,1871338
KMD Viljoenskroon,Charities,202964
Knysna Alcohol & Drug Centre,Charities,1308329
Knysna Animal Welfare Society,Charities,75000
Knysna Child & Family Welfare Society,Charities,991663
Knysna Sedgefield Hospice,Charities,775995
Kodumela Moepathutse Drop In Centre,Charities,193182
Kokstad Child & Family Welfare Society,Charities,2128578
Kokstad Primary School,Charities,483962
Komaggas Advice Services,Charities,477018
Koningsdal Child & Youth Care Centre,Charities,1230501
Kopanang Centre for Children,Charities,362305
"Kopanang Centre for Children with
Multiple Disabilities",Charities,465620
Kopanang Drop In-Centre,Charities,633400
"Kopano Ke Maatla Community
Caregiver",Charities,53200
Kopano Ke Matla,Charities,731500
Kopano Ke Matla,Charities,265000
Kotsiri Creche,Charities,47835
Kriel SPCA,Charities,213921
Kroon Day Care Centre for the Disabled,Charities,602550
"Krugersdorp Council for the Care of the
Aged",Charities,828000
"Krugersdorp Council for the Care of the
Aged",Charities,821999
Kungwini Early Learning Centre,Charities,131455
"Kwa Mashu Family & Child Welfare
Society",Charities,730402
"Kwa Mashu Family & Child Welfare
Society",Charities,584880
Kwa Thema Creche,Charities,217500
"Kwadroplegiese Vereniging van SA-
Noordwes",Charities,245000
"Kwadroplegiese Vereniging van SA-
Noordwes",Charities,245000
"Kwamakhutha Community Resource
Centre",Charities,550745
Kwamashu Christian Care Society,Charities,725000
KZN Cerebral Palsy Association,Charities,717000
KZN Christian Soc Services  PMB,Charities,5966570
KZN Christian Soc Services  PMB,Charities,5074357
KZN Deaf Association,Charities,522700
KZN Deaf Association,Charities,766800
KZN Program for Survivors of Violence,Charities,459104
KZN Progressive Primary Health Care,Charities,451765
"Ladismith Kinder & Gesinsorg
Vereeniging",Charities,475098
Ladysmith Hospice Association,Charities,282499
Ladysmith Hospice Association,Charities,159438
Laerskool Voorwaarts,Charities,264718
Laerskool Voorwaarts,Charities,264717
"Laingsburg Child & Family Welfare
Society",Charities,136350
"Laingsburg Child & Family Welfare
Society",Charities,428900
"Laingsburg Child & Family Welfare
Society",Charities,612447
Lamontville HIV/AIDS Support Centre,Charities,382980
"Langa Kwanobuhle Self Help &
Resource Exchange",Charities,3447914
Laphumilanga HBC Project,Charities,207783
Laphumilanga HBC Project,Charities,207783
Laudium Mental Health Society,Charities,500000
Laudium Mental Health Society,Charities,492500
Laudium Mental Health Society,Charities,500000
League of Friends of the Blind,Charities,1738451
Learn to Earn,Charities,1529556
Lebogang Day Care Centre,Charities,147800
Legae La Bana Day Care Centre,Charities,63292
Legae La Bana Day Care Centre,Charities,63292
Legal Resources Centre,Charities,974896
"Leisure Homes for Senior Citizens -
Langham House",Charities,328238
Lekanang Primary School,Charities,977500
Leliebloem House (Childrens Home),Charities,1609579
Lemotso Primary School,Charities,153956
Lenkwane La Maphiri Drop In Centre,Charities,315994
Lerato Pre School,Charities,177700
Leratong Early Learning Centre,Charities,63830
Leratong Early Learning Centre,Charities,242556
Leratong Early Learning Centre,Charities,63830
"Lereng La Sa Itsose Creche &
Preschool",Charities,341611
Lesedi Community Creche,Charities,241000
Lesedi Hospice,Charities,393795
Lesedi Hospice,Charities,1507850
"Lesedi La Setjhaba Welfare
Organisation",Charities,330000
"Lesedi La Setjhaba Welfare
Organisation",Charities,70000
Lesedi Self-Help Association for PWD,Charities,122609
Leseding Care Givers,Charities,1575950
"Leseding Centre for Mentally
Handicapped",Charities,366663
"Leseding Centre for Mentally
Handicapped",Charities,366662
Leseding Day Care Centre,Charities,24955
Let us Grow Organisation,Charities,400500
Let us Grow Organisation,Charities,400500
Lethabo Le Khutso,Charities,212800
Lettie Fouche School,Charities,1237638
"Leutlwetse Early Childhood
Development Centre",Charities,258000
Lewenslus Sentrum vir Bejaardes,Charities,55583
Lewenslus Sentrum vir Bejaardes,Charities,55583
Lidia Tehuis Bejaardesorg,Charities,663000
Life Community Services,Charities,200000
Life Line East London,Charities,645000
Life Line Eastern Cape (Port Elizabeth),Charities,1820400
Life Line Nelspruit,Charities,535300
Lifeline (North West) Rustenburg,Charities,833000
Lifeline Johannesburg,Charities,1377492
Lifeline Johannesburg,Charities,1708015
Lifeline Klerksdorp,Charities,962933
Lifeline OFS,Charities,1557854
Lifeline OFS,Charities,658646
Lifeline Southern Africa,Charities,985608
Lifeline Western Cape,Charities,2927120
Limpopo Mental Health Society,Charities,1412579
"Lithanza Community Development &
Training",Charities,258025
Little Angels Day Care,Charities,1594481
"Little Eden Society for Care of Persons
with Mental Handicap",Charities,3726751
"Little Eden Society for Care of Persons
wth Mental Handicap",Charities,3674545
"Little Elephant Training Centre Early
Education",Charities,390911
Little Light Pre-School,Charities,563000
Little Light Pre-School,Charities,788868
Living Waters Ministry,Charities,1180804
Louis Hildebrandt Childrens Home,Charities,2144946
Louis Trichardt Monument Home,Charities,259312
Louis Trichardt Monument Home,Charities,645796
Love in Action,Charities,898190
Love in Action,Charities,286500
"Lowveld Association for People with
Disabilities",Charities,438980
Luipaardsvlei Home for the Aged,Charities,1786883
Lukas Project,Charities,50000
"Lulekani Home Based Care
Organisation",Charities,220000
"Lulekani Home Based Care
Organisation",Charities,220000
Lungelo Womens Organisation,Charities,259093
Luthando Centre,Charities,319939
Lydenburg Dienssentrum,Charities,258573
"Lydenburg Rusoord Spesiale Projekte
Rekening",Charities,1755463
"Lydenburg Service Centre for the
Elderly & Disabled",Charities,101420
MaAfrika Tikkun Association,Charities,9030325
Mabje A Kgoro Primary School,Charities,701275
"Maboloka HIV/AIDS Awareness
Organisation",Charities,1258810
Madeira Home Housing Utility Company,Charities,435737
"Magaye Visually Impaired People's
Association",Charities,213700
Maje Lower Primary School,Charities,520000
Makaphutu Childrens Village,Charities,831500
Makgatsike Primary School,Charities,941968
Makgaung School Committee,Charities,2236662
Makhosana Senior Secondary School,Charities,612912
Makhundu Christian Support,Charities,356800
Makhundu Christian Support,Charities,356800
Makhundu Christian Support,Charities,300000
Making It Happen - Yenzani,Charities,1139401
Malamulele Onwards,Charities,568600
Malamulele Onwards,Charities,389000
Mali Martin Polokegong Centre,Charities,311845
Mamaolo Community Creche,Charities,162435
Mamaolo Community Creche,Charities,162434
"Mamatlepa Kgashane Higher Primary
School",Charities,79116
"Mamelodi Association for People with
Disabilities",Charities,547108
"Mamelodi Association for People with
Disabilities",Charities,524600
Mampepu Early Learning Centre,Charities,90417
Mamphela Ramphele Creche,Charities,282130
"Mangaung Society for the Care of the
Aged",Charities,2111916
Mangaya Creche,Charities,73772
"Maokeng Assoc for People Living with
Aids",Charities,464347
"Maokeng Child & Family Welfare
Society",Charities,424960
Maokeng Child Welfare Creche,Charities,675181
Maokeng Child Welfare Creche,Charities,675181
Maokeng Disabled Children's Centre,Charities,350000
Maphuthe Primary School,Charities,161639
Maphuthe Primary School,Charities,161639
"Maqhinebeni/Cezu Family & Community
Motivators",Charities,265750
Marais Steyn Home,Charities,659441
Marang House,Charities,524000
"Margate & District Child & Family Care
Centre",Charities,612000
Marian Home for the Aged,Charities,90500
Marian Home for the Aged,Charities,212548
Marquard Gemeenskap Oord,Charities,171800
Marquard Gemeenskap Oord,Charities,295000
Martin de Porres Development Project,Charities,368907
Maryland Literacy Programme,Charities,396600
Masakhane Organisation of SA,Charities,500000
Masakhane Organisation of SA,Charities,330700
Masande Educare Centre,Charities,402255
Masealele Primary School,Charities,627000
Masiba Mbane Childrens Centre,Charities,183550
"Masibambane Community Care &
Support",Charities,371944
Masibambane Disabled Centre,Charities,420000
Masibambane Disabled Centre,Charities,250000
Masibambane Resource Centre,Charities,763826
Masibambane Secondary School,Charities,992661
"Masibambisane Care for the Aged
Centre",Charities,58250
"Masikhule Early Childhood
Development Centre",Charities,1035038
"Masikhule Early Childhood
Development Centre",Charities,516467
Masincedane Gemeenskapdiens,Charities,204578
Masincedane Training Centre,Charities,132000
Masithandane,Charities,252082
Masithandane,Charities,944425
Masithandane,Charities,252082
Masizakhe Creche,Charities,104772
"Masizame Childrens Shelter
(Plettenberg Bay)",Charities,506323
Masizame Training Centre,Charities,268900
Masizame Training Centre,Charities,828800
"Matatiele Child & Family Welfare
Society",Charities,1525019
Media & Training Centre for Health,Charities,487398
Melkbos Care Centre,Charities,217720
Men on the Side of the Road,Charities,405000
Men on the Side of the Road,Charities,405000
Mercy Clinic,Charities,1000000
Mercy Clinic,Charities,1430000
Mercy Haven,Charities,544401
Mercy Shelters for the Homeless,Charities,968000
Metropolitan Evangelical Services,Charities,2720826
Metropolitan Evangelical Services,Charities,2875180
Mgombane Primary School,Charities,1250000
Mickey Mouse Creche,Charities,659307
Midcity Trauma Therapy Centre,Charities,463200
Midcity Trauma Therapy Centre,Charities,698179
Midlands Community College,Charities,276089
"Midrand Child & Family Care
Association",Charities,797298
"Midrand Child & Family Care
Association",Charities,700000
"Midrand Child & Family Care
Association",Charities,1116165
Miqlat Ministry,Charities,1939496
Mkhondo Alathia Rehabilitation Centre,Charities,134000
"Mmabahloki Clara Home (Sisters of St
Paul Mmabahloki)",Charities,50000
"Mmabahloki Clara Home (Sisters of St
Paul Mmabahloki)",Charities,200000
Mmabana Day Care Centre,Charities,88660
Mmaditshika Primary School,Charities,894721
Mmakoma Drop In Centre,Charities,290840
Mmakoma Drop In Centre,Charities,290840
Mmatlou Primary School,Charities,1158271
Moepathutse Children's Centre,Charities,137500
Moepathutse Children's Centre,Charities,137500
Mohlahlane Primary School,Charities,1265830
Mohlahlane Primary School,Charities,1265830
Mohlaloganyi Secondary School,Charities,491236
Moholoholo Community,Charities,551500
Monument Service Centre,Charities,421914
Mooreesburg Ontwikkelings Inisiatief,Charities,200000
Moreglans Old Age Home,Charities,780000
Moreglans Old Age Home,Charities,821648
Moreglans Old Age Home,Charities,504414
Moreson ACVV Childrens Home,Charities,343000
Moretele Sunrise Hospice Lottery Fund,Charities,706000
"Mosaic Training Service & Healing
Centre for Women",Charities,2370046
"Mossel Bay Child & Family Welfare
Society",Charities,928295
Motheo Pre-Primary Education,Charities,160178
Motheo Pre-Primary Education,Charities,160178
Mothomeng Primary School,Charities,162046
Motlatsi Creche,Charities,118810
"Mount Currie Cottages Trust & Home for
the Aged",Charities,378000
Mount Fletcher Cheshire Home,Charities,225487
Mpengesi Primary School,Charities,3037500
Mpengesi Primary School,Charities,3037500
Mphatlalatsane Educational Projects,Charities,368308
Mphego Childrens Resource Centre,Charities,123350
Mphethari Day Care Centre,Charities,123750
Mphohadi Day Care Centre,Charities,146792
Mpilonhle Organisation,Charities,1010407
Mpumalanga Frail Care Centre,Charities,645509
Mpumalanga Frail Care Centre,Charities,1129846
Mpumalanga Mental Health Society,Charities,1252454
Mpumelelo Day Care Centre,Charities,93337
Msunduzi Hospice Association,Charities,2321552
MTR Smit Children's Haven,Charities,1762588
MTR Smit Children's Haven,Charities,2139500
Munna Ndi nnyi,Charities,384000
Murraysburg Community Creche,Charities,123011
Muscular Dystrophy Foundation of SA,Charities,2610788
Music Therapy Community Clinic,Charities,352331
Music Therapy Community Clinic,Charities,904843
My Life Project,Charities,531264
Mzamo Child Guidance Clinic,Charities,1817127
Mzamo Child Guidance Clinic,Charities,719900
"Nababeep Advice & Development
Centre",Charities,896113
Najaarsrus Tuiste vir Bejaardes,Charities,416631
Najaarsrus Tuiste vir Bejaardes,Charities,416631
Naledi Early Learning Centre,Charities,578224
Naledi Hospice,Charities,3088100
"Namaqualand Assoc for Preschool
Education",Charities,2404368
Natal Blind & Deaf Society,Charities,1126741
Natal Childrens Home,Charities,1037041
Natal Early Learning Resource Unit,Charities,905257
"National Assoc. for Persons Cerebral
Palsy",Charities,330861
"National Association of Child Care
Workers",Charities,661600
"National Council for Persons with
Physical Disabilities",Charities,648240
National Council of African Women-Reef,Charities,172000
National Council of SPCA's,Charities,472547
National Council of SPCA's,Charities,903110
National Institute for the Deaf,Charities,6999436
National Kidney Foundation SA,Charities,79650
National Osteoporosis Foundation,Charities,75000
National Sea Rescue Institute of SA,Charities,14059400
National Sea Rescue Institute of SA,Charities,6008000
"National Welfare Social Servoces &
Development Forum",Charities,2214492
Nazareth House Cape Town,Charities,2821500
Nceduluntu Home Based Care,Charities,269700
Nceduluntu Home Based Care,Charities,269700
NCVV Huis Joanna,Charities,2163419
Ndengeza Educare- Centre,Charities,486465
Nelson Rolihlahla Primary School,Charities,494000
Nelspruit Hospice,Charities,363050
"New Beginnings Early Childhood
Development",Charities,262000
New Growth,Charities,159500
New Growth,Charities,159500
New Growth,Charities,269100
New Hope School,Charities,232190
New Jerusalem Children's Home,Charities,420720
New World Foundation,Charities,710000
Newcastle Organisation of the Aged,Charities,2500000
Newton Dienssentrum,Charities,218400
"NG Kerk Kinderhuis, Noord Kaap",Charities,1435200
"NG Ministry of Caring -
Barmhartigheidsdiens",Charities,1068928
"NG Social Services FS - Kerklike
Maatskaplike Dienste",Charities,1094786
NG Welsyn Noordwes,Charities,4656436
NG Welsyn Vryburg,Charities,343833
NG Welsyn Vryburg,Charities,586189
NGMD Vrystaat Jeugsorgsentrum,Charities,12480458
NGMD Vrystaat Jeugsorgsentrum,Charities,11649204
Ngxongwane Primary School,Charities,491871
Nhlayiseko Creche,Charities,219802
"Nhlayiso Community Health &
Counselling",Charities,458715
Nhluvuko Child Care Centre,Charities,667989
NICRO,Charities,17053415
NICRO,Charities,11503590
Nightingale Trust,Charities,114690
Nightingale Trust,Charities,114690
Nishtara Lodge,Charities,1242249
Nishtara Lodge,Charities,514819
Nkanyezi Stimulation Centre,Charities,36900
"Nkosinathi Foundation for the Blind - SA
Blind Workers Organisation",Charities,808063
Nkuri Health Development Organisation,Charities,228909
Nkuzi Development Association,Charities,1138780
Noluthando Day Care Centre,Charities,261206
Noluthando Day Care Centre,Charities,310000
Noluthando Educare,Charities,313790
Nomini Primary School,Charities,338569
Nompilo Home Based Care,Charities,215000
Nompilo Home Based Care,Charities,215000
"Nonesi Development & Legal Advice
Office",Charities,294350
"Nonesi Development & Legal Advice
Office",Charities,294350
Nong Primary School,Charities,1955000
Noorderbloem Behuisingskema,Charities,743051
North Gauteng Mental Health Society,Charities,1274336
"North North West Care for Persons with
Disabilities",Charities,829000
North West Mental Health,Charities,313800
"North West Network Violence Against
Women",Charities,875999
Northern Free State Caregivers,Charities,230744
Northern Free State Caregivers,Charities,230743
"Northern Free State Mental Health
(Welkom)",Charities,341000
Northern Pretoria Development Scheme,Charities,312996
Northern Pretoria Development Scheme,Charities,556770
Northern Pretoria Development Scheme,Charities,279400
Northern Pretoria Development Scheme,Charities,201673
Ntataise Lowveld Trust,Charities,1033110
Ntataise Trust,Charities,1057225
Ntokoto Health Education Organisation,Charities,199000
Ntokoto Health Education Organisation,Charities,199000
Ntokozweni Village,Charities,995700
Ntsoanatsatsi Educare Trust,Charities,1097200
Nwantumberi Day Care Centre,Charities,150000
Oasis Association,Charities,299868
Oasis Haven of Love Foundation,Charities,72150
Oasis Haven of Love Foundation,Charities,1008314
Oasis Skills Development Centre,Charities,788700
Oasis Skills Development Centre,Charities,372000
"Odirile Ctr Persons with Mental &
Physical Disabilites",Charities,614990
"Odirile Ctr Persons with Mental &
Physical Disabilities",Charities,614991
Oil Reach Out Adolescent Training,Charities,36764
Olifantshoek Day Care Centre,Charities,272009
Ons Herberg Tehuis vir Bejaardes,Charities,500000
"Ons Tuis Multi Purpose Frail Care
Centre (Riviera)",Charities,448714
"Ons Tuis Multi Purpose Frail Care
Centre (Riviera)",Charities,1725464
Ons Tuiste (ACVV Dienstak),Charities,744700
Ons Tuiste (Bloemfontein),Charities,150000
Ons Tuiste Humansdorp,Charities,1607147
Ons Woning Tehuis vir Bejaardes,Charities,328577
Onthatile HIV/AIDS Project,Charities,184225
Oosterland Youth Centre - Despatch,Charities,1095000
Open Door Crisis Centre,Charities,771647
Open Door Crisis Centre,Charities,1211954
"Operation Blanket - Bakeng Operation
Blanket",Charities,888000
Operation Hunger,Charities,2710514
Operation Hunger,Charities,4850345
Operation Smile Madiba Bay,Charities,411455
Operation Upgrade of SA,Charities,1010431
Opret Advice Office,Charities,408683
Opret Advice Office,Charities,408683
"OR Tambo Disabled Persons
Organisation",Charities,696360
Orange Vroue Vereeniging Zastron,Charities,538400
Orange Vroue Vereeniging Zastron,Charities,1326984
Oranje Vroue Vereeniging - Vrede,Charities,1150487
Oranje Vroue Vereeniging (Kroonstad),Charities,220235
Oranje Vroue Vereeniging (Ventersburg),Charities,1668800
Oranje Vroue Vereeniging Bloemfontein,Charities,3045650
Oranje Vroue Vereeniging Bloemfontein,Charities,1908767
Oranje Vroue Vereeniging Bothaville,Charities,824750
Order of St John JHB,Charities,10443854
Orebabaletse Home Based Care,Charities,218500
Orion Trust,Charities,1000000
Orkney Child & Family Welfare Society,Charities,871652
"Oudtshoorn Child & Family Welfare
Society",Charities,179150
Oudtshoorn Service Centre for the Aged,Charities,278800
"Overberg Development &
Empowerment Centre",Charities,425200
Overstrand Hospice,Charities,100000
OVV Bethlehem,Charities,1641389
OVV Parys,Charities,817167
OVV Parys,Charities,809565
OVV Rouxville,Charities,352703
OVV Vredefort,Charities,272030
OWL Haven Shelter,Charities,443150
Paballo Day Care Centre,Charities,320000
Paballo Day Care Centre,Charities,238945
Paballo Early Learning Centre,Charities,81428
Paballo Early Learning Centre,Charities,153850
Paballo Early Learning Centre,Charities,81428
Paballong Pre-School,Charities,192890
"PACSEN (Parents for Children Special
Needs)",Charities,181600
"PACSEN (Parents for Children Special
Needs)",Charities,101300
Papillon Foundation,Charities,81000
Parent Centre,Charities,1147485
Parkinson Association SA,Charities,811300
"Partners with After School Care Projects
(PASCAP)",Charities,1366000
Parys Hospice,Charities,238286
Patch Helderberg Child Abuse Centre,Charities,991636
PE Ladies Benevolent Society,Charities,1122012
Peddie Development Centre,Charities,632700
Peggy's Day Care Centre,Charities,126000
Pelabela Primary School,Charities,1469297
Peninsula School Feeding Association,Charities,408000
Peninsula School Feeding Association,Charities,612500
"People for Awareness on Disability
Issues",Charities,509958
Peoples Dispensary for Sick Animals,Charities,319213
Peoples Dispensary for Sick Animals,Charities,399252
Percy Bartley House,Charities,695452
Percy Bartley House,Charities,335537
"Persevere Until Something Happens
(PUSH)",Charities,233520
"Persevere Until Something Happens
(PUSH)",Charities,832548
Peter Pan School,Charities,72800
Peter Pan School,Charities,112512
"Phakamani Child & Family Welfare
Society",Charities,50000
Phakamani Creche,Charities,197400
"Phakgamang Community Resource
Centre",Charities,947200
Phalaborwa Maatskaplike Raad,Charities,250000
Phanagela Community Educare,Charities,450000
Philip Kushlik School,Charities,420000
Philip Kushlik School,Charities,1125750
Philip Kushlik School,Charities,1125750
Philippi Trust SA,Charities,1395000
"Philisani Non-Governmental
Organisation Health Care",Charities,308912
Phoenix Child & Welfare Society,Charities,1155800
Phoenix Community Centre,Charities,150000
Phoenix Zululand,Charities,210000
Phoenix Zululand,Charities,371200
Pholo Modi Wa Sechaba,Charities,206300
