Name,Sector,Amount,Project Number
University PE (Nelson Mandela Metro),SPORT & RECREATION,149291,11656
Vaal University of Technology,SPORT & RECREATION,1000000,18981
Volleyball South Africa,SPORT & RECREATION,1801458,23548
Volleyball South Africa,SPORT & RECREATION,680000,18951
Volleyball South Africa,SPORT & RECREATION,1801458,23548
Vredenburg Saldanha Golf Club,SPORT & RECREATION,275000,18640
Vulindlela Primary School,SPORT & RECREATION,250000,23857
Waveren High School,SPORT & RECREATION,50000,18582
West Cape Academy Sport,SPORT & RECREATION,633000,19729
Westbury Secondary School,SPORT & RECREATION,275000,18966
Western Cape Rowing,SPORT & RECREATION,395000,19816
Western Province Hockey Union,SPORT & RECREATION,833000,19735
Western Province Hockey Union,SPORT & RECREATION,1667000,19735
Wits University FC,SPORT & RECREATION,251063,19343
Wits University Foundation No 2,SPORT & RECREATION,750000,19011
Zakariyya Park Combined School,SPORT & RECREATION,275000,18779
Zamintuthuku Junior Primary School,SPORT & RECREATION,250000,23914
Zululand District Municipality,SPORT & RECREATION,648280,18360
