Project,Name,Sector,Amount
31471,Little Light Pre-School,Charities,471557
27862,Little Saints of Bethany (Genesis),Charities,595000
21279,Living Waters Ministry,Charities,308707
30761,Living Waters Ministry,Charities,150000
21279,Living Waters Ministry,Charities,308707
30761,Living Waters Ministry,Charities,150000
34069,Louis Hildebrandt Children’s Home,Charities,1294549
33523,Lower South Coast SPCA,Charities,248600
34035,Lowveld Alcohol & Drug Help Centre,Charities,1181905
28388,Lukas Project,Charities,44725
31918,Lusikisiki Paralegal Advice Centre,Charities,373620
34592,Lutheran Community Outreach Foundation,Charities,2967730
27551,Lutheran Community Outreach Foundation,Charities,353177
24276,Lydenburg Rusoord,Charities,1382547
34008,Lydenburg Rusoord,Charities,849296
36110,MaAfrika Tikkun Association,Charities,17924143
35131,Maboloka HIV/AIDS Awareness Organisation,Charities,1223800
33767,Madeira Home Housing Utility Company,Charities,900082
27402,Mahadu Primary School,Charities,431600
27402,Mahadu Primary School,Charities,431600
26862,Maje Lower Primary School,Charities,520000
34746,Malamulele Onwards,Charities,568600
22735,Malethlogonolo Stimulation Centre,Charities,52830
27540,Mali Martin Polokegong Centre,Charities,255000
27540,Mali Martin Polokegong Centre,Charities,75000
30975,Manenberg Pre School Association,Charities,335000
35683,Maokeng Child & Family Welfare Society,Charities,421407
30762,Marais Steyn Home,Charities,209000
23637,Maranatha Day Care Centre,Charities,57470
23637,Maranatha Day Care Centre,Charities,57470
36725,Maranatha Day Care Centre,Charities,81250
30084,Margaret Maltman Crèche,Charities,159434
30084,Margaret Maltman Crèche,Charities,159434
33426,Margarets House,Charities,275000
33501,Marion Institute,Charities,352360
31738,Maryland Literacy Programme,Charities,188100
34037,Masakane Trust,Charities,204500
33252,Masakhane Youth Centre,Charities,825321
31613,Masangane Moravian AIDS Programme,Charities,162408
31613,Masangane Moravian AIDS Programme,Charities,162409
33763,Masibambane Disabled Centre,Charities,250000
31030,Masikhule Early Childhood Development Centre,Charities,551000
33759,Masimanyane Women’s Support Group,Charities,1782451
31155,Masincedane Childminding Project,Charities,40982
33845,Masincedane Gemeenskapdiens,Charities,204579
30943,Masincedane Training Centre,Charities,132000
33705,Masincedane Training Centre,Charities,240389
31563,Masizakhe Community Project,Charities,267500
32204,Masizakhe Crèche,Charities,104772
34486,Masoyi Home Base Care Project,Charities,1199165
33795,Matie Community Service,Charities,419500
30321,Matlala Advice Office,Charities,462697
33202,McClelland Centre for the Handicapped,Charities,500000
22021,McKaiser Old Age Home,Charities,348237
26676,Meerhof School for Physically Disabled,Charities,387042
30681,Melodi LP Primary School,Charities,817945
30776,Mercy House,Charities,400000
21283,MESCA Flame Lily Park,Charities,235336
31362,Metropolitan Evangelical Services,Charities,1397230
34646,Meyerton Child & Family Welfare,Charities,442482
30690,Meyerton Child & Family Welfare,Charities,194250
33602,Meyrick Bennett Children’s Centre,Charities,479031
30958,Mfundiso After Care Centre,Charities,94128
27541,Midcity Trauma Therapy Centre,Charities,142000
27541,Midcity Trauma Therapy Centre,Charities,142000
34877,Middelburg Child & Family Welfare Society,Charities,699096
35612,Midlands Community College,Charities,276089
30521,Midrand Association for Home Based Care,Charities,350400
30516,Midrand SPCA,Charities,186672
28091,Miqlat Ministry,Charities,608088
33892,Missionvale Care Centre,Charities,940000
16852,Mmashiko Community Centre,Charities,359796
29060,"Mohlanatsi Integrated Rural Development
Programme",Charities,104785
29060,"Mohlanatsi Integrated Rural Development
Programme",Charities,104785
34440,"Mohlanatsi Integrated Rural Development
Programme",Charities,488400
27387,Mologadi Educare,Charities,299000
27387,Mologadi Educare,Charities,299000
27594,Monument Service Centre,Charities,182600
23273,Monwabisi Preschool,Charities,22120
31308,Moraba Primary School,Charities,1250000
31308,Moraba Primary School,Charities,1250000
33944,Moreson ACVV Children’s Home,Charities,270100
26401,Moretele Sunrise Hospice,Charities,1246466
28526,Mosaic Training Service & Healing Centre for Women,Charities,1050900
33409,Mosaic Training Service & Healing Centre for Women,Charities,1072483
30502,MOTH,Charities,20000
30727,Motheo Day Care & Pre School,Charities,216000
28232,Mothergoose Day Care Centre,Charities,91680
30705,Motlatsi Crèche,Charities,118810
33764,Mount Fletcher Cheshire Home,Charities,282241
33344,Mphethari Day Care Centre,Charities,123750
34130,Mpumalanga Frail Care Centre,Charities,645510
25312,Mpumalanga Mental Health Society,Charities,758730
34474,Mpumalanga Mental Health Society,Charities,430184
34333,Msunduzi Hospice Association,Charities,995100
35705,Munsieville Care of the Aged,Charities,397769
35705,Munsieville Care of the Aged,Charities,397769
23719,Muscular Dystrophy Foundation of SA,Charities,978300
33410,Music Therapy Community Clinic,Charities,352332
34311,Muthande Society for the Aged,Charities,600000
33232,Mzomtsha Children’s Home,Charities,683661
21534,N2 Southern Cape Rural Development Forum,Charities,180469
34947,Naledi Early Learning Centre,Charities,477328
34947,Naledi Early Learning Centre,Charities,477328
35960,Naledi Hospice,Charities,2426464
31008,Namaqualand Association for Preschool Education,Charities,2404367
33578,Natal Blind & Deaf Society,Charities,1031836
34358,Natal Society for the Blind,Charities,561595
36170,National Association for Persons with Cerebral Palsy,Charities,297500
25770,National Council for Persons with Physical Disabilities,Charities,500000
30549,National Council of African Women,Charities,172000
21409,National Council on Problem Gambling,Charities,110100
30617,National Organisation of the Blind SA,Charities,100000
30617,National Organisation of the Blind SA,Charities,100000
30471,National Osteoporosis Foundation,Charities,75000
24190,National Welfare Social Services & Development Forum,Charities,3442000
33402,Nazareth House Aids Project,Charities,1455000
30667,Nelson Rolihlahla Primary School,Charities,494000
25967,Nelspruit Child Welfare Society,Charities,760133
34875,Nelspruit Child Welfare Society,Charities,593100
30099,New Hope School,Charities,384000
31763,Newton Dienssentrum,Charities,140050
35754,"NG Kerk Kinderhuis, Noord Kaap",Charities,952914
27859,NG Ministry of Caring,Charities,708479
34774,NG Ministry of Caring,Charities,865555
31415,NG Social Services Free State,Charities,437945
27220,NG Welsyn Kimberley,Charities,786000
35743,NG Welsyn Kimberley,Charities,1123680
24798,NG Welsyn Noordwes,Charities,127140
26414,NG Welsyn Noordwes,Charities,5010938
26389,NG Welsyn Vryburg,Charities,577355
28508,NGMD Vrystaat Jeugsorgsentrum,Charities,1267840
25437,Ngxongwane Primary School,Charities,491870
35060,Nightingale Hospice,Charities,406706
35876,NISAA,Charities,714820
31483,Nkanyezi Stimulation Centre,Charities,253000
33215,Nkosinathi Foundation for the Blind,Charities,987488
30739,Nomini Primary School,Charities,338569
31429,Noorderbloem Behuisingskema,Charities,250000
33214,Noorderbloem Behuisingskema,Charities,970065
31612,North Gauteng Mental Health Society,Charities,739000
35911,North Gauteng Mental Health Society,Charities,1723227
26397,North North West Care for Persons with Disabilities,Charities,1154620
33234,Northern Free State Mental Health,Charities,365000
26790,Nothisiwe Primary School,Charities,50000
34666,Novalis House,Charities,650000
34773,Nqobile Women’s Development Project,Charities,828100
34030,Ntataise Lowveld Trust,Charities,982180
31867,Ntshuxekani Community Based Organisation,Charities,131460
31867,Ntshuxekani Community Based Organisation,Charities,131460
35713,Ntsoanatsatsi Educare Trust,Charities,804306
31107,Ntsoanatsatsi Educare Trust,Charities,2369305
34285,Ntuzuma Organisation People with Disability,Charities,338831
27211,Nurturing Orphans of Aids for Humanity,Charities,1589225
33493,Oasis Association,Charities,860435
34577,Oasis Haven of Love Foundation,Charities,463576
30497,Oasis Haven of Love Foundation,Charities,267150
30127,Oil Reach Out Adolescent Training,Charities,36764
35867,Ondersteuningsraad,Charities,4050000
27560,Ons Herberg Tehuis vir Bejaardes,Charities,410000
33276,Ons Plek Projects,Charities,645328
27596,Ons Tuis Multi Purpose Frail Care Centre Riveira,Charities,1257250
33301,Ons Tuiste ACVV Dienstak,Charities,309000
35934,Ons Tuiste Bloemfontein,Charities,537000
32252,Ons Tuiste Humansdorp,Charities,621566
35732,Ons Woning Tehuis vir Bejaardes,Charities,328578
30770,Onthatile HIV/AIDS Project,Charities,184225
25388,Ontwikkelingsinstituut vir Dowes en Blindes,Charities,382000
35961,Onze Rust Sentrum vir Bejaardes,Charities,439151
33745,Oosterland Youth Centre Despatch,Charities,875000
25144,Open Door Crisis Centre,Charities,2276046
25064,Open Gate Special School,Charities,545775
26671,Operation Blanket,Charities,898747
36252,Operation Upgrade of SA,Charities,1625110
21420,Orange Vroue Vereeniging Ficksburg,Charities,200000
35719,Oranje Vroue Vereeniging Ventersburg,Charities,1350300
33787,Orion Trust,Charities,600000
35104,Orkney Child & Family Welfare Society,Charities,603968
31840,Overberg Development & Empowerment Centre,Charities,125000
31840,Overberg Development & Empowerment Centre,Charities,125000
33865,Overstrand Child & Youth Centre,Charities,215890
35717,OVV Hennenman,Charities,530732
35996,OVV Trompsburg,Charities,237600
33454,OWL Haven Shelter,Charities,374150
33388,Paarl Youth Initiative,Charities,969395
34673,Parents for Children with Special Educational Needs,Charities,200000
31267,Park Care Centre,Charities,492541
34575,Park Care Centre,Charities,4102678
23522,Park Care Centre,Charities,541249
36071,Parkinson Association SA,Charities,1094435
34140,Partners with After School Care Projects,Charities,1991000
31837,Patch Helderberg Child Abuse Centre,Charities,327640
33484,Patch Helderberg Child Abuse Centre,Charities,592192
27604,Pathways Roodepoort,Charities,214184
30670,Peace Makers Home Based Care,Charities,941660
27812,Peddie Development Centre,Charities,210000
31736,Peninsula School Feeding Association,Charities,408000
34024,People for Awareness on Disability Issues,Charities,844455
35331,People Opposing Women Abuse,Charities,1444503
33869,Percy Bartley House,Charities,335536
27778,Perpetual Care Trust,Charities,201360
27778,Perpetual Care Trust,Charities,201360
31452,Persevere Until Something Happens,Charities,415200
33415,Peter Pan Down Syndrome Centre,Charities,1109545
35711,Petsana Child Care Forum,Charities,586900
33574,Pevensey Place,Charities,800000
24425,Pfuxanani Early Learning Centre,Charities,188064
24425,Pfuxanani Early Learning Centre,Charities,188063
21228,Phakamani Child & Family Welfare Society,Charities,50000
33677,Phakamani Crèche,Charities,457881
26647,Phakgamang Community Resource Centre,Charities,1154309
24533,Phaphamani Home Based Care Project,Charities,294000
24250,Phembela Secondary School,Charities,550000
24250,Phembela Secondary School,Charities,550000
20942,Philani Health Care Centre,Charities,219300
34135,Philippi Trust SA,Charities,268146
25077,Phoenix Child & Welfare Society,Charities,248180
34287,Phoenix Child & Welfare Society,Charities,377291
30315,Pholosho Care Centre,Charities,356820
30315,Pholosho Care Centre,Charities,356820
27894,Phutaditjaba Old Age & Disabled Care Organisation,Charities,531747
35242,Phutaditjaba Old Age & Disabled Care Organisation,Charities,595994
30091,"Phyllis Robertson Housing, Care & Rehabilitation",Charities,1310654
30659,Pieter Wessels Home,Charities,686078
34329,Pietermaritzburg & District Cerebral Palsy Association,Charities,552301
34370,Pietermaritzburg Association for the Aged,Charities,556791
33603,Pietermaritzburg Benevolent Society,Charities,1300187
33579,Pietermaritzburg Children’s Homes,Charities,651240
35606,Pietermaritzburg Mental Health Society,Charities,237125
23495,Pinelands Crèche,Charities,72000
33563,Place of Restoration,Charities,250000
30967,Plettenberg Bay HIV/Aids Forum,Charities,195872
30967,Plettenberg Bay HIV/Aids Forum,Charities,195871
30947,Pniellandgoed Primary School,Charities,256280
30641,Polokego Shelter for Abused Women & Children,Charities,337800
30641,Polokego Shelter for Abused Women & Children,Charities,337800
33322,Port Alfred Benevolent Society,Charities,541000
31566,Port Alfred Child & Family Welfare Society,Charities,617876
33727,Port Alfred Child & Family Welfare Society,Charities,794937
27770,Port Elizabeth Childline & Family Centre,Charities,1498800
33240,Port Elizabeth Childline & Family Centre,Charities,1291600
33700,Port Elizabeth Deaf Association,Charities,1526084
31203,Port Elizabeth Mental Health,Charities,2500000
33283,Post-Natal Depression Support Association SA,Charities,279500
34926,Potchefstroom Service Centre for the Aged,Charities,813354
33327,Potgietersrus Service Centre for the Aged,Charities,319056
31302,Poverty Alleviation & Support for People With Aids,Charities,250677
33739,President’s Award for Youth Empowerment,Charities,300500
34543,Pretoria Child & Family Care Society,Charities,6729651
34604,Pretoria Council for the Care of the Aged,Charities,2199798
35914,Pretoria Sungardens Hospice,Charities,3500000
34806,Pretoria Workshop for the Blind,Charities,841514
28088,Prince Albert Advice Office,Charities,683000
33396,Prince Albert Advice Office,Charities,498000
30124,Princess Christian Home,Charities,107810
30094,Princess Christian Home,Charities,2073925
26692,Project Gateway,Charities,543026
35582,Prosperity Youth Centre,Charities,677800
33525,Prosperity Youth Centre,Charities,678349
33793,Qhamani Educare Centre,Charities,154472
31098,Qholaqhwe Advice Centre,Charities,186520
31098,Qholaqhwe Advice Centre,Charities,186520
34777,Quadriplegic Association Gauteng South,Charities,130000
33526,Quadriplegic Association of KZN,Charities,1211058
36201,Quadriplegic Association of SA,Charities,419600
33791,Quadriplegic Association Western Cape,Charities,56755
33611,Queen Alexandra Retirement Village,Charities,410000
33840,Rachel Swart Fund,Charities,700000
24799,Radineo Primary School,Charities,264338
35799,Ramotshinyadi HIV/AIDS Youth Guide,Charities,768500
27522,Rand Aid Association,Charities,5113600
27522,Rand Aid Association,Charities,5113600
21778,Randfontein Kinder en Gesinsorgvereniging,Charities,150000
33915,Rape Crisis Cape Town Trust,Charities,2236579
31096,Rape Crisis Centre,Charities,980700
35837,Ratanang Group for Children with Multiple Disabilities,Charities,213300
31322,Ratanang Service Centre for the Aged,Charities,372350
31322,Ratanang Service Centre for the Aged,Charities,372350
34781,Remme Los Self Help Centre for Quadriplegics,Charities,670000
36241,Residentia Foundation,Charities,2566357
32226,Resources Aimed at Prevention of Child Abuse & Neglect,Charities,998150
31034,Restoration of Human Abilities Association,Charities,224180
34749,Restorative Justice Centre,Charities,2392497
30642,Rethabile Early Learning Centre,Charities,178937
30642,Rethabile Early Learning Centre,Charities,178937
35470,Rethusitswe Day Care Centre,Charities,400000
22241,Retina SA Cape of Good Hope,Charities,50000
35301,Retina SA North Gauteng,Charities,849867
27670,Retina South Africa,Charities,255000
33670,Retina South Africa,Charities,215400
36105,Retina South Africa,Charities,781220
34064,Richards Bay Family Care,Charities,789262
33315,Richtersveld Advice Office,Charities,560981
34847,Ring Ting Nursery School & Baby Care,Charities,316782
22827,Ringetani Preschool,Charities,75000
34337,Rob Smetherham Fund,Charities,481061
30118,Robertson House,Charities,286440
33286,Robertson House,Charities,427848
33636,Roger Stephen Protected Workshop,Charities,250000
34678,Roodepoort Care of the Aged,Charities,529350
30965,Roodepoort Child & Family Welfare Society,Charities,500000
34473,Rosebuds Service Centre,Charities,172755
33457,Rural Education Access Programme,Charities,852500
33435,Rural Education Awareness & Community Health,Charities,1218017
34555,Rus n Bietjie Tuiste vir Bejaardes,Charities,971094
34739,Rusoord Centurion,Charities,897747
33498,Rusoord Tehuis vir Oues van Dae Paarl,Charities,2612949
23629,Rustenburg Child & Family Welfare,Charities,442985
35602,Ry Ma In Self Help Centre for Quadriplegics,Charities,530000
30314,SA Blind Workers Organisation,Charities,2038882
36164,SA Congress for Early Childhood Development,Charities,1270000
30580,SA Guide Dogs Association for the Blind,Charities,200000
29071,"SA National Association of Blind & Partially
Sighted Persons",Charities,650000
20447,SA National Council for the Blind,Charities,2500000
28225,SA National Tuberculosis Association,Charities,126722
30942,SA San Institute Trust,Charities,156255
33350,Saartjie Baartman Centre for Women & Children,Charities,1189396
35563,Saartjie Baartman Centre for Women & Children,Charities,1643020
31036,Salem Baby Care Centre,Charities,440596
33738,Samaritan Care Centre,Charities,381234
27915,San Michele Home,Charities,1500000
34836,San Salvador Home,Charities,1908373
31074,SANCA Central Eastern Cape,Charities,1441159
33875,SANCA Central Eastern Cape,Charities,3785319
34570,SANCA Central Rand Alcohol & Drug Centre,Charities,3608450
34108,SANCA Durban Alcohol & Drug Centres,Charities,2853174
30606,SANCA Eastern Gauteng,Charities,886756
33443,SANCA George,Charities,241319
34691,SANCA Johannesburg Society,Charities,2282467
35908,SANCA Pretoria,Charities,1782940
34028,SANCA Soweto,Charities,2278601
30509,SANCA West Rand Clinic,Charities,1275093
34710,SANCA West Rand Clinic,Charities,1355389
30980,SANCA Western Cape,Charities,2945343
33456,SANCA Western Cape,Charities,3720150
34213,SANCA Zululand,Charities,716000
31395,SANEL Free State & North West Province,Charities,782516
31398,SANEL Free State & North West Province,Charities,142715
31400,SANEL Free State & North West Province,Charities,42052
31397,SANEL Free State & North West Province,Charities,548134
35964,SANEL Free State & North West Province,Charities,971517
35594,SANEL KZN  Pietermaritzburg,Charities,861056
33761,SANTA EC Community Services,Charities,307144
33637,SANTA Johannesburg,Charities,554264
34059,Santie Zietsman Dagversorging,Charities,589976
30956,Saron Community Services,Charities,493000
34099,Saron Community Services,Charities,366273
26417,Saron Primary School,Charities,150163
31174,Save the Children Fund,Charities,500000
30765,Save the Children Fund Johannesburg,Charities,646363
26419,SAVF Atamelang Shelter,Charities,87440
34023,SAVF Belfast Children’s Home,Charities,588908
34056,SAVF Bethal,Charities,182823
34120,SAVF Carolina Ons Eie Ouetehuis,Charities,684000
26402,SAVF Delareyville,Charities,215760
27572,SAVF Della Villa,Charities,38953
35328,SAVF Die Anker Old Age Home,Charities,569024
24421,SAVF Ellisras,Charities,178000
34154,SAVF Ellisras,Charities,143136
34039,SAVF Ermelo Old Age Home,Charities,1487673
34937,SAVF Family Care Potchefstroom,Charities,736141
35004,SAVF Gesinsorg Polokwane,Charities,170068
34133,SAVF Herfsakker Tehuis vir Bejaardes,Charities,2685529
34101,SAVF Hoeveldrif,Charities,385417
30601,SAVF Jasmyn Kleuterskool,Charities,150000
35308,SAVF Johanna Raath Elsburg,Charities,454510
34304,SAVF Kalinka Educare Crèche,Charities,431774
35848,SAVF Kinross Herberg,Charities,390170
34040,SAVF Korale Dienssentrum,Charities,122708
25187,SAVF KZN Social Services,Charities,1172661
23274,SAVF Lochvaal,Charities,190654
33047,SAVF Magnus Preschool,Charities,194637
34445,"SAVF Martha Hofmeyr Home for the Care of Frail
People",Charities,1588844
34034,SAVF Nelspruit,Charities,929874
34115,SAVF Old Age Home Hendrina,Charities,602335
26244,SAVF Ons Eie Old Age Home,Charities,480200
34102,SAVF Ons Eie Old Age Home,Charities,336879
34025,SAVF Piet Retief,Charities,552844
35007,SAVF Potgietersrus,Charities,178576
35006,SAVF Potgietersrus,Charities,291040
25721,SAVF Rethabile Klerksdorp Children’s Home,Charities,731450
34956,SAVF Rodeonhof Tehuis Vir Bejaardes,Charities,991801
33271,SAVF Rustig Old Age Home,Charities,930021
24574,SAVF Schoongesicht Luncheon Club,Charities,60039
27567,SAVF Silversig Tehuis vir Bejaardes,Charities,1579690
24568,SAVF Silwerjare Tehuis,Charities,1753768
34062,SAVF Silwerjare Tehuis,Charities,1719440
34488,SAVF Standerton,Charities,664167
30994,SAVF Streekkantoor,Charities,155389
37038,SAVF Susan Strijdom Tehuis,Charities,764629
34481,SAVF Thabazimbi,Charities,364350
27360,SAVF Tzaneen Kleuterskool,Charities,380264
34938,SAVF Ventersdorp Old Age Home,Charities,701515
33266,SAVF Volksrust,Charities,386973
25829,SAVF Zeerust,Charities,83223
31469,Self Help Skills Training Centre,Charities,510000
34540,Self Help Skills Training Centre,Charities,1600000
30959,Selfhelp Manenberg,Charities,507650
35930,Sentrum vir Bejaardes Bloemfontein,Charities,1239920
27555,Shalom Respite Care Centre,Charities,470950
35526,Shalom Respite Care Centre,Charities,512872
34787,Shangri-La Self Help Centre for Quadriplegics,Charities,754000
31750,Share Literacy Project,Charities,990549
33489,Share Literacy Project,Charities,600255
33986,Sharpeville Care of the Aged,Charities,950000
25147,Shekinah Care Centre,Charities,135000
34131,Sibusisiwe Clermont Child & Family Welfare Society,Charities,250000
35493,Sikhethokuhle Stimulation Centre,Charities,121470
30715,Siphimfundo Pre-School & Day Care Centre,Charities,49625
30715,Siphimfundo Pre-School & Day Care Centre,Charities,49625
29067,Sivukile Education & Training Trust,Charities,327500
21163,Sivunyiwe Ikhwezi Pre-School,Charities,20619
33821,Siyakha Educare,Charities,472839
33686,Siyakhana Youth Outreach & Education Trust,Charities,472137
31933,Siyanakekela Community Development,Charities,522946
31223,Siyanda Educare,Charities,25000
34013,Siyathuthuka Nursery School,Charities,1383875
30926,Siyazama Educare Centre,Charities,89600
30926,Siyazama Educare Centre,Charities,89600
25464,Sizabaswele Care of the Aged,Charities,206308
33883,Sizamile Training Centre,Charities,166562
30523,Sizanani Day Care,Charities,41977
31480,Sizolwethu Home Based Care,Charities,199300
35179,SKDB NG Kerk Free State,Charities,514187
34093,Skiereilandse Beheerkomitee van die ACVV,Charities,1076625
31773,Skiereilandse Beherkomitee van die ACVV,Charities,962804
33608,Society for Animals in Distress - Bramley,Charities,930000
27612,Society for Children & Adults with Autism - Key School,Charities,460000
34542,Society for Children & Adults with Autism - Key School,Charities,1140000
31418,Society for the Blind Free State,Charities,187023
35184,Society for the Blind Free State,Charities,194666
30106,Soil for Life,Charities,168961
33825,Somerset West Night Shelter,Charities,120000
26789,South African ASB Samaritan Organisation,Charities,195960
26789,South African ASB Samaritan Organisation,Charities,195960
33812,South African Children’s Home,Charities,673288
30607,South African Council for English Education,Charities,65000
24218,South African National Tuberculosis Association,Charities,4186120
36192,South Africans Against Drunk Driving,Charities,304165
35597,South Coast Hospice Association,Charities,1011692
34018,Soweto Care of the Aged,Charities,1464202
24866,Sparrow Ministries,Charities,2375967
36186,Sparrow Ministries,Charities,5977644
34240,SPCA Amanzimtoti,Charities,650000
34610,SPCA Benoni,Charities,724318
35198,SPCA Bloemfontein,Charities,470000
33445,SPCA Cape of Good Hope,Charities,617302
33669,SPCA Cradock,Charities,509876
33606,SPCA Estcourt & District,Charities,238393
33288,SPCA Franschhoek,Charities,125000
33806,SPCA Garden Route,Charities,165573
35561,SPCA Hartbeespoort,Charities,494487
31494,SPCA Heidelberg,Charities,189600
21856,SPCA Humansdorp,Charities,50000
30703,SPCA Kempton Park,Charities,38000
30317,SPCA Louis Trichardt,Charities,250000
33331,SPCA Louis Trichardt,Charities,343232
30324,SPCA Nelspruit,Charities,268100
34141,SPCA Nelspruit,Charities,379089
33540,SPCA Newcastle,Charities,164900
33268,SPCA Paarl,Charities,486100
35807,SPCA Percy Fyfe,Charities,378536
33590,SPCA Pietermaritzburg,Charities,277918
30627,SPCA Randburg,Charities,349240
31513,SPCA Richards Bay,Charities,147400
27606,SPCA Roodepoort,Charities,430400
33798,SPCA Swellendam,Charities,170980
36198,SPCA Tshwane,Charities,731804
33858,SPCA Uitenhage & District,Charities,43650
32249,SPCA Umtata,Charities,113791
34214,SPCA Vanderbijlpark & Sasolburg,Charities,242610
33643,SPCA Vereeniging & District,Charities,250000
33466,SPCA Wellington,Charities,348325
33513,SPCA Winelands,Charities,181600
33248,SPCA Witbank,Charities,300000
34953,SPCA Zeerust,Charities,1132600
30775,St Anne’s Home for Aged Women,Charities,120000
34380,St Anthony’s Home Newcastle,Charities,2655889
34144,St Benedict’s Home Gugulethu,Charities,371368
24509,St Benedict’s Home Gugulethu,Charities,362438
30960,St Bernard’s Hospice,Charities,786050
33746,St Bernard’s Hospice,Charities,1630507
34335,St Clement’s Home Based Care,Charities,2469754
30624,St Francis Care Centre,Charities,2000000
34682,St Francis Care Centre,Charities,3948955
30673,St Francis Hospice,Charities,500000
33772,St Francis Hospice,Charities,600000
31853,St George’s Children’s Home for Girls,Charities,418339
33658,St George’s Children’s Home for Girls,Charities,445780
31356,St Giles Association,Charities,610000
31772,St Helena Sandveld Hospice,Charities,103600
33516,St Helena Sandveld Hospice,Charities,355194
30951,St Joseph’s Adult Education Programme,Charities,225000
30081,St Joseph’s Care & Support Trust,Charities,1507046
33610,St Joseph’s Care & Support Trust,Charities,7906400
33826,St Joseph’s Home,Charities,1050000
34012,St Joseph’s Home for the Aged,Charities,1417487
31888,St Joseph’s Home for the Aged,Charities,691785
27562,St Mary’s Children’s Home,Charities,1520000
33411,St Michael’s Children’s Home,Charities,947636
33678,St Monica’s Centre,Charities,683600
34487,Standerton Family Crisis Centre,Charities,465276
33399,Stellenbosch Aids Action,Charities,231010
33817,Stellenbosch Hospice,Charities,630740
31838,Stellenbosch Night Shelter,Charities,35000
31838,Stellenbosch Night Shelter,Charities,35000
33261,Step By Step Preschool,Charities,790600
34936,Stilfontein Child & Family Welfare Society,Charities,1338127
31767,Strand Dienssentrum,Charities,1989860
21699,Stroke Aid Society,Charities,100000
22119,Stutterheim Education Trust,Charities,76507
33913,Summerstrand Cheshire Home,Charities,347881
27536,Sunnyside Samaritan Project,Charities,82800
27536,Sunnyside Samaritan Project,Charities,82800
34674,Sunnyside Samaritan Project,Charities,185000
30330,Sunrise Home Based Care,Charities,438976
30330,Sunrise Home Based Care,Charities,438977
28551,Sunrise Special Care Centre,Charities,40000
28267,Sunshine Centre Association,Charities,2138586
31355,Sunshine Centre Association,Charities,366248
33952,Swellendam Advice & Development Centre,Charities,376850
34549,Talitha Stimulation Centre Disabled Children,Charities,300800
31572,Tamar Shelter Society,Charities,230830
31778,TB Care Association,Charities,373280
33524,TB Care Association,Charities,280000
30098,Teddy Bear Clinic for Abused Children,Charities,610227
34686,Teddy Bear Clinic for Abused Children,Charities,1747989
36846,Tembisa Child & Family Welfare,Charities,3164994
35443,Thabo Mbeki Development Trust for Disabled People,Charities,2410400
31288,Thabong Pre-Primary School,Charities,314566
30605,Thandanani Centre,Charities,970550
33975,Thandanani Centre,Charities,1546701
32228,Thandanani Service Centre,Charities,181128
29073,Thandululo Counselling Organisation,Charities,232402
34469,Thembelihle Day Care Centre,Charities,212197
31040,Thembelihle Home,Charities,283000
26005,Thembifundo Day Care Centre,Charities,90268
26636,Thibela Bolwetse Project,Charities,186200
31784,Think Twice,Charities,275023
31784,Think Twice,Charities,275024
31281,Thohoyandou Victim Empowerment Programme,Charities,979233
30558,Thokoza Care for the Aged,Charities,231395
23670,Tholulwazi Day Care Centre,Charities,46480
34453,Thukakgaladi Integrated Development Project,Charities,126800
32441,Thusanang Crèche,Charities,350000
32441,Thusanang Crèche,Charities,139800
37592,Thusanang Crèche,Charities,220614
35785,Thusanang Home Based Care,Charities,506455
34451,Thusanang Self Help Association,Charities,406400
30726,Thusananga Home Based Care Association,Charities,110745
30726,Thusananga Home Based Care Association,Charities,110745
30668,Thusong Centre for the Disabled,Charities,594259
22547,Thuthukani Old Age Day Care Centre,Charities,815000
27206,Thuthukani Old Age Day Care Centre,Charities,342200
21089,Thuthukani Stimulation Centre,Charities,100000
30615,Tiqwa School,Charities,259160
31481,Tirisano Networks,Charities,848102
35269,Tirisano Networks,Charities,287864
33510,Tirisano Training Organisation,Charities,74620
26418,Tlamelang Day Care Centre,Charities,72287
31309,Tlangelani Community Development Agency,Charities,452525
31310,Tlangelani Community Development Agency,Charities,53190
31311,Tlangelani Community Development Agency,Charities,66000
31312,Tlangelani Community Development Agency,Charities,32790
31313,Tlangelani Community Development Agency,Charities,96915
31309,Tlangelani Community Development Agency,Charities,452525
31310,Tlangelani Community Development Agency,Charities,53190
31313,Tlangelani Community Development Agency,Charities,96915
31311,Tlangelani Community Development Agency,Charities,66000
23481,Together Action Group,Charities,150000
36193,Topsy Shelter,Charities,1444176
34378,Training & Resources in Early Education,Charities,3047244
31842,Trauma Centre for Victims of Violence & Torture,Charities,954000
33925,Trauma Centre for Victims of Violence & Torture,Charities,376219
21693,Treasure Centre Community Centre,Charities,50000
33318,Trompsburg Sentrum vir Bejaardes,Charities,410430
33255,Trust Christian Outreach & Education,Charities,588800
33641,Tshepong Centre for the Disabled,Charities,255968
26378,Tshepong Fountain,Charities,259047
34568,Tshepong Fountain,Charities,250000
30579,Tshipi-Noto Primary School,Charities,3125500
31432,Tshireletso Against Women Abuse,Charities,140800
35197,Tshireletso Against Women Abuse,Charities,548560
24661,Tsholofelo Home Based Care Group,Charities,127382
25270,Tshupe Hospice,Charities,125628
34923,Tshupe Hospice,Charities,251550
28577,Tshwane Deaf Association,Charities,463207
